matched_order	archived_outcome	innovation_seed	l2_id	l4_id	map_name	iid_outcome	ar1_outcome	iid_collision	ar1_collision	iid_repaired_collision	ar1_repaired_collision	repair_delta	iid_safe_to_collision	ar1_safe_to_collision	safe_harm_delta	iid_lost_overtake	ar1_lost_overtake	overtake_loss_delta
2	follow	3	L2:1df9882108ce191432a9097ecc2efb20eb11011e29ec86e771222e0a7bb755ad	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	follow	follow	0	0	0	0	0	0	0	0	0	0	0
3	collision	0	L2:97574f9b4b7e86cd97cde7a77831c583ea770675f95c755290d95be26b233e03	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	follow	collision	0	1	1	0	-1	0	0	0	0	0	0
3	collision	1	L2:97574f9b4b7e86cd97cde7a77831c583ea770675f95c755290d95be26b233e03	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	overtake	follow	0	0	1	1	0	0	0	0	0	0	0
3	collision	2	L2:97574f9b4b7e86cd97cde7a77831c583ea770675f95c755290d95be26b233e03	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	collision	collision	1	1	0	0	0	0	0	0	0	0	0
3	collision	3	L2:97574f9b4b7e86cd97cde7a77831c583ea770675f95c755290d95be26b233e03	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	collision	follow	1	0	0	1	1	0	0	0	0	0	0
3	overtake	0	L2:25b2fb225c939881e646707662b3da0aa1b63d92ca4e5d3942bb69e88683b9d3	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
3	overtake	1	L2:25b2fb225c939881e646707662b3da0aa1b63d92ca4e5d3942bb69e88683b9d3	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
3	overtake	2	L2:25b2fb225c939881e646707662b3da0aa1b63d92ca4e5d3942bb69e88683b9d3	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
3	overtake	3	L2:25b2fb225c939881e646707662b3da0aa1b63d92ca4e5d3942bb69e88683b9d3	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
3	follow	0	L2:7795d90ed0545ac353887bd3337d31a2badcb0b0bfc53833bd3b028e19ad536b	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
3	follow	1	L2:7795d90ed0545ac353887bd3337d31a2badcb0b0bfc53833bd3b028e19ad536b	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
3	follow	2	L2:7795d90ed0545ac353887bd3337d31a2badcb0b0bfc53833bd3b028e19ad536b	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
