run,run_label,update,actor_delta_l2_from_bc,actor_relative_l2_from_bc,actor_delta_rms_from_bc,actor_max_abs_delta_from_bc,gru_relative_l2_from_bc,head_relative_l2_from_bc,fixed_frontend_delta_l2,source_path
privilege_gru,privilege_gru / bs12800 / clip0.15,10,0.05600849461576319,0.0003458729781576888,1.6660827848006044e-05,0.0010015368461608887,0.00015520297825240213,0.0016878361654111584,0.0,post-trained/ppo_privilege_gru_0721_base/checkpoints/actor_u0010.pth
privilege_gru,privilege_gru / bs12800 / clip0.15,15,0.07426867997078937,0.00045863631403704334,2.2092678976301663e-05,0.0014443844556808472,0.00020754919752997254,0.002233502649562524,0.0,post-trained/ppo_privilege_gru_0721_base/checkpoints/actor_u0015.pth
privilege_gru,privilege_gru / bs12800 / clip0.15,20,0.08799137140132363,0.0005433789622010249,2.6174763329825645e-05,0.0017651185626164079,0.00023720586888773543,0.0026687585739825544,0.0,post-trained/ppo_privilege_gru_0721_base/checkpoints/actor_u0020.pth
batch_25600,privilege_gru / bs25600,1,0.01840911553136323,0.00011368303429261529,5.4761533372078075e-06,0.0001906752586364746,3.97254893010678e-05,0.0005805352613427633,0.0,post-trained/ppo_privilege_gru_0721_bs25600/checkpoints/actor_u0001.pth
batch_25600,privilege_gru / bs25600,5,0.03695735879587547,0.00022822523331977125,1.0993692953885919e-05,0.0005889199674129486,8.30345298065482e-05,0.0011588893480271208,0.0,post-trained/ppo_privilege_gru_0721_bs25600/checkpoints/actor_u0005.pth
batch_25600,privilege_gru / bs25600,10,0.053227793838650596,0.0003287011318914503,1.5833653733398604e-05,0.0008111186325550079,0.00012885791563637032,0.001649268299639717,0.0,post-trained/ppo_privilege_gru_0721_bs25600/checkpoints/actor_u0010.pth
batch_25600,privilege_gru / bs25600,15,0.06305116349760857,0.0003893640392378555,1.8755808165472236e-05,0.0010906383395195007,0.00016070624878220498,0.0019350776839356166,0.0,post-trained/ppo_privilege_gru_0721_bs25600/checkpoints/actor_u0015.pth
batch_25600,privilege_gru / bs25600,20,0.07033142462496933,0.00043432231949802933,2.0921464967420105e-05,0.001430349424481392,0.00018039040667851966,0.0021558269817560263,0.0,post-trained/ppo_privilege_gru_0721_bs25600/checkpoints/actor_u0020.pth
batch_51200,privilege_gru / bs51200,1,0.018711635051555577,0.00011555120318588015,5.566143716009518e-06,0.00011140620335936546,4.435384841721645e-05,0.000581864521999943,0.0,post-trained/ppo_privilege_gru_0721_bs51200/checkpoints/actor_u0001.pth
batch_51200,privilege_gru / bs51200,5,0.03630973148819857,0.00022422589737655142,1.0801043478892965e-05,0.0003482401371002197,8.478139237094539e-05,0.001131879578704915,0.0,post-trained/ppo_privilege_gru_0721_bs51200/checkpoints/actor_u0005.pth
batch_51200,privilege_gru / bs51200,10,0.04710174944092396,0.00029087056289109006,1.4011341389530682e-05,0.0006283372640609741,0.00011293916032249226,0.0014618676781434322,0.0,post-trained/ppo_privilege_gru_0721_bs51200/checkpoints/actor_u0010.pth
batch_51200,privilege_gru / bs51200,15,0.054984124584586756,0.0003395471178422294,1.6356108843162738e-05,0.0008170902729034424,0.0001335079622978663,0.0017027981247386156,0.0,post-trained/ppo_privilege_gru_0721_bs51200/checkpoints/actor_u0015.pth
batch_51200,privilege_gru / bs51200,20,0.06047489044515071,0.00037345460908241233,1.7989445096603448e-05,0.0009591151028871536,0.00015248531318134474,0.0018599101493351046,0.0,post-trained/ppo_privilege_gru_0721_bs51200/checkpoints/actor_u0020.pth
clip_010,privilege_gru / clip0.10,1,0.028557872374515916,0.000176355326737189,8.495100584317926e-06,0.00040477141737937927,7.550226696892319e-05,0.0008698764901414379,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0001.pth
clip_010,privilege_gru / clip0.10,5,0.045236502831905834,0.0002793519815743542,1.3456487115011726e-05,0.0007863007485866547,0.00011954474569383092,0.0013780412236437845,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0005.pth
clip_010,privilege_gru / clip0.10,10,0.05984321120563634,0.0003695537583041497,1.7801539688023757e-05,0.0011987201869487762,0.0001571318673507567,0.0018255075561706934,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0010.pth
clip_010,privilege_gru / clip0.10,15,0.06697158575761801,0.0004135740833036272,1.9922014842041706e-05,0.001365814357995987,0.00017744502169351505,0.002039011613627544,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0015.pth
clip_010,privilege_gru / clip0.10,20,0.07436365699390883,0.0004592228319584451,2.2120931759072657e-05,0.0017164796590805054,0.00020064494394815102,0.0022549847521465918,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0020.pth
clip_020,privilege_gru / clip0.20,1,0.028637850095111713,0.00017684921846912186,8.518891529667625e-06,0.000415608286857605,7.765380502175414e-05,0.0008674270593761606,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0001.pth
clip_020,privilege_gru / clip0.20,5,0.051010168026252814,0.00031500647986704985,1.5173977337074689e-05,0.000887707807123661,0.0001431580743140591,0.0015324288245013031,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0005.pth
clip_020,privilege_gru / clip0.20,10,0.07217784261993684,0.000445724627223394,2.1470718300519975e-05,0.0012498162686824799,0.00019641099261564568,0.0021844517570212565,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0010.pth
clip_020,privilege_gru / clip0.20,15,0.09213546237578046,0.0005689702425402823,2.7407504662824605e-05,0.0017271451652050018,0.0002440523605004985,0.0028053125171964973,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0015.pth
clip_020,privilege_gru / clip0.20,20,0.11010405681498503,0.0006799328976630687,3.2752616340544466e-05,0.0018580090254545212,0.0002832856138536338,0.0033728369391665108,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0020.pth
