run,update,formal_training_timesteps,policy_gradient_loss,value_loss_pre,value_loss_post,explained_variance_pre,explained_variance_post,collision_value_loss_pre,collision_value_loss_post,ordinary_value_loss_pre,ordinary_value_loss_post,collision_explained_variance_post,ordinary_explained_variance_post,approx_kl_mean,approx_kl_max,clip_fraction_mean,clip_fraction_max,actor_grad_norm_mean_preclip,actor_grad_norm_max_preclip,critic_grad_norm_mean_preclip,actor_optimizer_steps_completed,actor_optimizer_steps_planned,actor_early_stop_triggered,training_ego_collision_count,training_episode_count,training_collision_rate,mean_episode_return,mean_relative_position_m,mean_episode_min_obb_clearance_m,mean_episode_min_wall_clearance_m,mean_episode_risk_active_fraction,rollout_wall_seconds,actor_train_wall_seconds,critic_train_wall_seconds
ppo_privilege_gru_0721_base,14,1433600,0.003058763638764894,0.08605425953860583,0.04531157475853745,0.7273432707693813,0.8775510297906896,0.14171929967981106,0.07105723788588536,0.03038921939740057,0.019565911631189543,0.8394772338348823,0.9008584453625985,0.3125069399207132,3.094435453414917,0.10422851338807959,0.25703123211860657,43.45800316333771,105.06452941894531,1.1933815374970436,,,,32,145,0.2206896551724138,0.012739380836352213,2.444065198741511,0.4161744022242859,0.4295080260415579,0.0787528777532392,93.04797384199992,17.2848610109977,51.45124730599855
ppo_privilege_gru_0721_base,15,1536000,0.0026616714989540213,0.09934763234823332,0.052222564429348764,0.7420673889552886,0.8642720748252954,0.1669270752751888,0.07898626053362354,0.03176818942127785,0.025458868325073995,0.8476715315075978,0.8350366209231977,0.04791829086199868,0.6657530069351196,0.10151855142612476,0.20226562023162842,50.34109565615654,111.52989959716797,1.3545633181929588,,,,46,151,0.304635761589404,-0.13921814112248682,3.426273039209949,0.36679823385339605,0.4457660774999352,0.09433328766545769,93.28971980500137,17.457599469998968,52.131602216999454
ppo_privilege_gru_0721_base,16,1638400,-0.00011844730364818368,0.0835899505796186,0.027292102242941495,0.7851347289058033,0.9294969316104371,0.12205786927808113,0.03792235955534323,0.0451220318811561,0.016661844930539762,0.9301895136991284,0.8720116337568453,0.0030878619127906876,0.013597050681710243,0.02432617131853476,0.04937499761581421,15.5838041305542,33.29201889038086,0.42094546668231486,,,,42,151,0.2781456953642384,-0.08371463526207729,3.918785940070931,0.376541351401268,0.4591982847380057,0.09250272570184798,93.46455070299999,17.47885666000002,51.97271517500121
ppo_privilege_gru_0721_base,17,1740800,0.003408136779325721,0.08605574956541102,0.030920861067826957,0.7506016142917374,0.9124263044293639,0.13389457461572213,0.043106994352790355,0.038216924515099934,0.018734727782863562,0.9134176448957382,0.8267814878809587,0.007387597016058858,0.03965902328491211,0.09365722339134663,0.20140624046325684,52.366724640131,98.85053253173828,0.6640070289373398,,,,27,138,0.1956521739130435,0.13087253386144487,4.421189771352382,0.33752038573940146,0.4523927905599934,0.07350137341912084,93.7691217850006,16.976538955997967,50.57261652300076
ppo_privilege_gru_0721_base,18,1843200,0.0034844239356246476,0.07941081401418443,0.03525746234174334,0.8036430514251972,0.9221635827302107,0.13363582096660362,0.052029128577449006,0.02518580706176521,0.01848579610603767,0.9007060904265656,0.9179675560750773,0.058731083185994064,0.843797504901886,0.14825683177332394,0.3572656214237213,63.38696166872978,159.9341583251953,0.7335121128708124,,,,35,148,0.23648648648648649,0.05274509162180124,5.708184487660871,0.29744281338531464,0.4684416631425292,0.08479765494246683,93.87564326500069,17.315403641998273,51.72718955400342
ppo_privilege_gru_0721_base,19,1945600,0.00684998379700108,0.10246664553879431,0.06227340824099854,0.7622251069396635,0.8752636983021697,0.1585929640816759,0.07782618084345883,0.04634032699591277,0.04672063563853824,0.8614154087567005,0.8242871132409977,0.03527784940437414,0.40210872888565063,0.2205175762064755,0.4278906285762787,93.21319898962975,190.20921325683594,0.9375332742929459,,,,46,148,0.3108108108108108,-0.12233268435543902,4.6472725850324075,0.3175665589062599,0.4664929715345565,0.09086306971063271,93.71559050499854,17.31690688100207,51.65868456200042
ppo_privilege_gru_0721_base,20,2048000,0.0025735469734535776,0.0762007306883036,0.031062841662583874,0.8082258970348783,0.9220174622338332,0.12186229503493641,0.04249097358191074,0.030539166341670775,0.01963470974325701,0.9214666967809444,0.8640827169759592,0.11873954111419152,1.0881820917129517,0.11695800453890115,0.2409375011920929,38.12199768424034,79.09058380126953,0.8051487386226654,,,,35,143,0.24475524475524477,0.020436447014787612,4.5901949014582435,0.38750104240919125,0.44094332614851667,0.07059413693803678,95.74848003599982,17.136171498001204,51.140476261
ppo_privilege_gru_0721_bs25600,1,102400,0.023810863061807908,0.18180427050894962,0.10930173778264678,0.24546710856749288,0.5665091782579185,0.30352848750979555,0.15992964500746,0.06008005350810363,0.05867383055783353,0.5441062540854253,0.36298531812885826,0.1803131372499047,1.245259165763855,0.36706054396927357,0.6300390362739563,160.2655520439148,261.7760314941406,1.5220388039946555,,,,54,159,0.33962264150943394,-0.23055848805200252,3.503862829655375,0.3090019532907204,0.43090997908191037,0.08736558703054961,92.05468142999962,13.979369019998558,40.2873533460006
ppo_privilege_gru_0721_bs25600,2,204800,0.011267076551447985,0.11450473153839616,0.07350632679388597,0.4797535145715638,0.7076217926547267,0.1816347873755226,0.09944474222027405,0.04737467570126972,0.047567911367497856,0.6919607191102586,0.5214562971905958,0.3109751203257474,0.9160916805267334,0.22529784496873617,0.44425779581069946,115.32506740093231,221.23971557617188,0.8589409448206424,,,,45,148,0.30405405405405406,-0.163794355422461,3.0039238214844644,0.4165570534141682,0.4459124998289612,0.09541133879549876,93.04731872300181,13.6093383740008,38.868046635998326
ppo_privilege_gru_0721_bs25600,3,307200,0.0005540767570346716,0.11251350217728902,0.14144926141351136,0.5336645014671997,0.6717192539354067,0.17389289361268337,0.15272501184074802,0.05113411074189462,0.1301735109862747,0.6460531234174431,0.5292130727462901,0.1525244879849197,0.6953277587890625,0.041166990310557594,0.09968749433755875,30.245047509670258,73.19580078125,2.0899291023612023,,,,44,151,0.2913907284768212,-0.07431289433767739,4.764219632587364,0.3259244630481035,0.42864902801579324,0.09193719881374403,92.10721695900065,13.69766378499844,39.50607975700041
