panel,run,update,policy_sha256,trainable_actor_parameter_count,fixed_actor_parameter_count,actor_relative_l2_from_bc,actor_delta_rms_from_bc,actor_max_abs_delta_from_bc,gru_relative_l2_from_bc,head_relative_l2_from_bc,fixed_frontend_delta_l2,checkpoint_path
ppo_privilege_gru_0722_clip015_tkl002_u0005,ppo_privilege_gru_0722_clip015_tkl002,5,7747578d27d569a2c6e674867d9bc6e4acb9ff31fa3065d834ddc2b56d0df9e1,11300942,540,0.00024194607489544723,1.1654630910472626e-05,0.0005981549620628357,0.00010829839100174749,0.001181387280083512,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl002/checkpoints/actor_u0005.pth
ppo_privilege_gru_0722_clip015_tkl002_u0010,ppo_privilege_gru_0722_clip015_tkl002,10,9896e892136b5d6d9201df46095b493ae0e1aa6dd8f07ae25c72e5d89dc09274,11300942,540,0.0003162654552379625,1.5234622641114867e-05,0.0009598301257938147,0.00014476893220040075,0.0015357690392739337,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl002/checkpoints/actor_u0010.pth
ppo_privilege_gru_0722_clip015_tkl002_u0015,ppo_privilege_gru_0722_clip015_tkl002,15,79ed8c85d0c9d5dd4e1579601032f2fa6570844926f231cb7877b2a2b8be05e9,11300942,540,0.0003908401277012138,1.8826911886576546e-05,0.0012852190993726254,0.00017608895931162192,0.0019054084892499601,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl002/checkpoints/actor_u0015.pth
ppo_privilege_gru_0722_clip015_tkl002_u0020,ppo_privilege_gru_0722_clip015_tkl002,20,5c88ffd7f20539a5c44bed7199198e334d8a89cddbf511022399edadf4ef37fc,11300942,540,0.0004473058335026111,2.1546885585257128e-05,0.0012844521552324295,0.00019541466303070958,0.002196526738049914,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl002/checkpoints/actor_u0020.pth
ppo_privilege_gru_0722_clip015_tkl004_u0001,ppo_privilege_gru_0722_clip015_tkl004,1,df761140b8657b4427fc9e4f45a54e348ca3687335f6917a785c0b0ac2a878c6,11300942,540,3.619927242476059e-05,1.7437321912353656e-06,2.999836578965187e-05,1.0521269353293323e-05,0.0001886273335810081,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl004/checkpoints/actor_u0001.pth
ppo_privilege_gru_0722_clip015_tkl004_u0005,ppo_privilege_gru_0722_clip015_tkl004,5,0aec12134c4abf75dbda4eb11345b854445fd3fc25caa2ab0e724bf85d04e465,11300942,540,0.00022873570062482298,1.101828235065465e-05,0.0007413867861032486,9.398569751404102e-05,0.001137780485049289,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl004/checkpoints/actor_u0005.pth
ppo_privilege_gru_0722_clip015_tkl004_u0010,ppo_privilege_gru_0722_clip015_tkl004,10,98e45612c12ca437f19de86b6ef5ee4a34cb2f9d73725fb3764dcf5fcdece1d4,11300942,540,0.0003547203803476706,1.7087010447105052e-05,0.0009341761469841003,0.00015182002964957164,0.0017497773568897028,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl004/checkpoints/actor_u0010.pth
ppo_privilege_gru_0722_clip015_tkl004_u0015,ppo_privilege_gru_0722_clip015_tkl004,15,fc77d245136a2be21f63fe7f7473cb5162d94e70188f63a72724cb9db9201dff,11300942,540,0.00039976024506584667,1.9256597202231362e-05,0.001168869435787201,0.00017585415790875443,0.001959960739930087,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl004/checkpoints/actor_u0015.pth
ppo_privilege_gru_0722_clip015_tkl004_u0020,ppo_privilege_gru_0722_clip015_tkl004,20,3a76d92b1894addb0b16a11c21ba2236ac22dc31d202349edf3df8359d9c8305,11300942,540,0.0004666437238800333,2.2478398836850188e-05,0.0013794051483273506,0.00022355371978329908,0.002238414029589983,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl004/checkpoints/actor_u0020.pth
ppo_privilege_gru_0722_long45_clip020_hard_u0001,ppo_privilege_gru_0722_long45_clip020_hard,1,84c95c0b8ce636c980f5d47840d20fa248c52ac131dd163df99e2223b2bfbe94,11300942,540,0.00013993080435512886,6.740518020262664e-06,0.0003886651247739792,5.7725731199448266e-05,0.0006955035880069312,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0001.pth
