panel,run,update,panel_valid,policy_sha256,scenario_id,episode_key,trace_format,trace_length,terminal_marker_valid,trace_collision_marker_matches_json,collision_time_s,trace_end_time_s,trace_end_lag_to_collision_s,opponent_collision,pass_detected,pass_time_s,pass_to_collision_s,max_relative_progress_m,terminal_relative_progress_m,json_terminal_relative_progress_m,relative_progress_terminal_abs_error_m,lateral_gap_at_pass_m,terminal_lateral_gap_m,post_pass_lateral_convergence_m,terminal_opponent_body_x_m,terminal_opponent_body_y_m,terminal_center_distance_m,terminal_heading_difference_rad,terminal_ego_track_heading_error_rad,terminal_abs_kinematic_slip_proxy_rad,terminal_yaw_rate_proxy_radps,terminal_tail_lateral_velocity_proxy_mps,terminal_abs_steer_command_rad,post_pass_rear_contact,merge_tail_relaxed,merge_tail_primary,merge_tail_strict,collision_class,trace_path
ppo_privilege_gru_0722_lr5_tkloff_u0001,ppo_privilege_gru_0722_lr5_tkloff,1,True,859715fc9068e5f2436080e23d42c7dccdb5401485c36203e685b1b6d7519b87,evaluation-sp3-ego128-raceline2-v0.8,ol2_e128_o149_s0.8,post_step_v2,441,True,True,4.399999999999951,4.399999999999951,0.0,True,False,,,-0.22637885020446902,-0.22637885020446902,-0.22637885020446902,0.0,,0.3585820519793651,,0.2906319894589386,0.3103300268727069,0.4251725283642813,-0.0717739567714637,0.19065511544496783,0.07200693287971882,-0.4983827304195793,0.5126145944028846,0.07410965859889984,False,False,False,False,prepass_or_front_side_opponent_contact,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0001_Austin/multiagents/traces/ol2_e128_o149_s0.8.npz
ppo_privilege_gru_0722_lr5_tkloff_u0001,ppo_privilege_gru_0722_lr5_tkloff,1,True,859715fc9068e5f2436080e23d42c7dccdb5401485c36203e685b1b6d7519b87,evaluation-sp46-ego1967-raceline2-v0.8,ol2_e1967_o2001_s0.8,post_step_v2,557,True,True,5.559999999999926,5.559999999999926,0.0,True,True,5.2499999999999325,0.3099999999999934,0.38613774789246236,0.38613774789246236,0.38613774789246236,0.0,0.5457380679011385,0.2745962249279619,0.27114184297317667,-0.3982331522958004,0.31484983439519393,0.5076613652880542,-0.01810403280066364,0.11377410882296068,0.10901504255850725,-0.8668948787921422,0.8625140537631599,0.06608588248491287,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0001_Austin/multiagents/traces/ol2_e1967_o2001_s0.8.npz
ppo_privilege_gru_0722_lr5_tkloff_u0001,ppo_privilege_gru_0722_lr5_tkloff,1,True,859715fc9068e5f2436080e23d42c7dccdb5401485c36203e685b1b6d7519b87,evaluation-sp1-ego42-raceline2-v0.7,ol2_e42_o63_s0.7,post_step_v2,474,True,True,4.729999999999944,4.729999999999944,0.0,True,True,4.389999999999951,0.33999999999999275,0.4326551772963114,0.4326551772963114,0.4326551772963114,0.0,0.6027851482609291,0.34064479005378845,0.26214035820714066,-0.4591503286838635,0.30026123419984363,0.5486126439426212,0.05707023203518036,-0.09544661012326472,0.12046535604391018,-0.5185918486332741,0.851414883583139,0.027314528822898865,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0001_Austin/multiagents/traces/ol2_e42_o63_s0.7.npz
ppo_privilege_gru_0722_lr5_tkloff_u0001,ppo_privilege_gru_0722_lr5_tkloff,1,True,859715fc9068e5f2436080e23d42c7dccdb5401485c36203e685b1b6d7519b87,evaluation-sp1-ego42-raceline2-v0.8,ol2_e42_o63_s0.8,post_step_v2,725,True,True,7.23999999999989,7.23999999999989,0.0,True,True,7.009999999999895,0.2299999999999951,0.23039686050788077,0.23039686050788077,0.23039686050788077,0.0,0.5138227529480612,0.29902076260427757,0.21480199034378367,-0.18006235524635145,0.33260883728466273,0.37822095449184007,-0.09227673333457087,0.16016456903006349,0.061064666162515824,-0.36277607039876586,0.4112210737208268,0.0034800334833562374,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0001_Austin/multiagents/traces/ol2_e42_o63_s0.8.npz
ppo_privilege_gru_0722_lr5_tkloff_u0001,ppo_privilege_gru_0722_lr5_tkloff,1,True,859715fc9068e5f2436080e23d42c7dccdb5401485c36203e685b1b6d7519b87,evaluation-sp15-ego641-raceline2-v0.7,ol2_e641_o661_s0.7,post_step_v2,439,True,True,4.379999999999951,4.379999999999951,0.0,True,True,4.1699999999999555,0.20999999999999552,0.28233495547877396,0.28233495547877396,0.28233495547877396,0.0,0.5865766245928151,0.3425406253102364,0.24403599928257874,-0.408167971859645,0.3065883117346478,0.5104874985191288,0.020731200524087612,0.004669442437498006,0.2067157355210849,-2.055943801817492,1.5546533400304485,0.17750981450080872,True,True,True,False,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0001_Austin/multiagents/traces/ol2_e641_o661_s0.7.npz
ppo_privilege_gru_0722_lr5_tkloff_u0001,ppo_privilege_gru_0722_lr5_tkloff,1,True,859715fc9068e5f2436080e23d42c7dccdb5401485c36203e685b1b6d7519b87,evaluation-sp17-ego727-raceline2-v0.5,ol2_e727_o745_s0.5,post_step_v2,106,True,True,1.0500000000000007,1.0500000000000007,0.0,True,False,,,-0.4626215704065828,-0.4626215704065828,-0.4626215704065828,0.0,,0.22170053456645455,,0.5676942195957234,0.27386871645174315,0.6303021504114694,-0.11301075229387347,-0.2180124391903835,0.3948927373125519,-4.870526405500137,3.046343234335137,0.29096052050590515,False,False,False,False,prepass_or_front_side_opponent_contact,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0001_Austin/multiagents/traces/ol2_e727_o745_s0.5.npz
ppo_privilege_gru_0722_lr5_tkloff_u0001,ppo_privilege_gru_0722_lr5_tkloff,1,True,859715fc9068e5f2436080e23d42c7dccdb5401485c36203e685b1b6d7519b87,evaluation-sp17-ego727-raceline2-v0.7,ol2_e727_o745_s0.7,post_step_v2,261,True,True,2.5999999999999885,2.5999999999999885,0.0,True,False,,,-0.5960546567175982,-0.5960546567175982,-0.5960546567175982,0.0,,0.2647259088278093,,0.5558308517365199,0.33792086484301564,0.6504909274066756,0.13594849148559973,-0.12553635550270448,0.04676275296708132,-0.444181554055701,0.43685208950627874,0.0015781247057020664,False,False,False,False,prepass_or_front_side_opponent_contact,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0001_Austin/multiagents/traces/ol2_e727_o745_s0.7.npz
ppo_privilege_gru_0722_lr5_tkloff_u0001,ppo_privilege_gru_0722_lr5_tkloff,1,True,859715fc9068e5f2436080e23d42c7dccdb5401485c36203e685b1b6d7519b87,evaluation-sp2-ego85-raceline2-v0.8,ol2_e85_o106_s0.8,post_step_v2,573,True,True,5.7199999999999225,5.7199999999999225,0.0,True,True,5.479999999999928,0.23999999999999488,0.34643994213490714,0.34643994213490714,0.34643994213490714,0.0,0.6144409901601394,0.28263586288686027,0.33180512727327915,-0.2983599945337323,0.3500517518963869,0.45995099232842007,-0.1540690501799995,0.21369740004312687,0.09705764961283103,-0.9151773599281716,0.7711334065619508,0.022531569004058838,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0001_Austin/multiagents/traces/ol2_e85_o106_s0.8.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp30-ego1283-raceline0-v0.7,ol0_e1283_o1279_s0.7,post_step_v2,727,True,True,7.25999999999989,7.25999999999989,0.0,True,True,6.179999999999913,1.079999999999977,1.1170295590039245,1.1170295590039245,1.1170295590039245,0.0,0.7322034147932523,0.24908067205226037,0.483122742740992,-0.26547510220360704,-0.47644381340810893,0.5454133636287953,0.9913404060279216,0.04288749480635223,0.03654270071261312,-1.6596096558505156,0.5608300270887544,0.2061498463153839,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e1283_o1279_s0.7.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp34-ego1454-raceline0-v0.8,ol0_e1454_o1450_s0.8,post_step_v2,523,True,True,5.219999999999933,5.219999999999933,0.0,True,True,4.349999999999952,0.8699999999999815,0.6169502184363296,0.5892618263103486,0.5892618263103486,0.0,0.6756170965843307,0.2691122105593134,0.4065048860250173,-0.5742592030045035,-0.2807647312664278,0.6392202019323834,0.03991939569092473,-0.014101275344037933,0.021852661527419492,0.19787911836679917,-0.17760838569433685,0.02660686895251274,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e1454_o1450_s0.8.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp36-ego1539-raceline0-v0.7,ol0_e1539_o1533_s0.7,post_step_v2,459,True,True,4.579999999999947,4.579999999999947,0.0,True,True,3.839999999999962,0.7399999999999847,0.6114283259778404,0.475158345658258,0.475158345658258,0.0,0.7463793925605124,0.360736280099397,0.38564311246111543,-0.14157784846558832,-0.47132267715301285,0.49212737494964476,0.8960128106744829,-0.34339288131225487,0.17888752448261247,-2.850470710213225,1.3389948312906355,0.2205016165971756,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e1539_o1533_s0.7.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp45-ego1924-raceline0-v0.7,ol0_e1924_o1919_s0.7,post_step_v2,677,True,True,6.7599999999999,6.7599999999999,0.0,True,True,6.199999999999912,0.5599999999999881,0.6075246134940357,0.577591149066393,0.577591149066393,0.0,0.6535215808593627,0.39208330564598026,0.2614382752133825,-0.14814240131551762,-0.45046047728140404,0.47419490998967734,0.6276488463091345,-0.04860417417805607,0.20342255661452224,-2.628395234648056,1.435382695127569,0.16820013523101807,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e1924_o1919_s0.7.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp5-ego213-raceline0-v0.7,ol0_e213_o221_s0.7,post_step_v2,335,True,True,3.3399999999999728,3.3399999999999728,0.0,True,True,3.089999999999978,0.24999999999999467,0.40453336070862633,0.40453336070862633,0.40453336070862633,0.0,0.5128364941362336,0.28589911638951915,0.2269373777467144,-0.3669045778808126,-0.33023618692310486,0.49363438739963117,0.0758669209116638,-0.1120697124897223,0.03860721636337594,0.11859210009125296,-0.2823460593176079,0.01836584135890007,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e213_o221_s0.7.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp6-ego256-raceline0-v0.8,ol0_e256_o262_s0.8,post_step_v2,715,True,True,7.139999999999892,7.139999999999892,0.0,True,True,6.669999999999902,0.46999999999999,0.5269973033241797,0.5269973033241797,0.5269973033241797,0.0,0.6701638447244533,0.3071820403358149,0.3629818043886384,-0.49127247669377566,-0.34145083203025484,0.5982786282753125,0.12722559185536397,-0.05081693139827159,0.018019113662013808,-0.3085590558309702,0.20151412333005714,0.031623486429452896,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e256_o262_s0.8.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp12-ego513-raceline0-v0.8,ol0_e513_o523_s0.8,post_step_v2,716,True,True,7.149999999999892,7.149999999999892,0.0,True,True,5.629999999999924,1.5199999999999676,0.43263285054504763,0.43263285054504763,0.43263285054504763,0.0,0.5109997173835793,0.29094883581808195,0.22005088156549735,-0.4131242360654282,-0.34656773346238035,0.5392409742424022,0.13896048829496532,-0.13210561443449365,0.014292310687611831,0.023312249538634474,0.06022221864353614,0.0051323240622878075,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e513_o523_s0.8.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp13-ego556-raceline0-v0.8,ol0_e556_o565_s0.8,post_step_v2,709,True,True,7.0799999999998935,7.0799999999998935,0.0,True,True,6.9399999999998965,0.13999999999999702,0.19183962545554323,0.19183962545554323,0.19183962545554323,0.0,0.5420188167155737,0.4322195497934019,0.10979926692217185,-0.02432051695771191,-0.46896920284784466,0.46959940456183846,0.8266131360804834,-0.3438657541900305,0.3270024091797099,-3.6637829543113103,2.1780114691684975,0.1756010204553604,True,True,True,False,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e556_o565_s0.8.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp14-ego598-raceline0-v0.7,ol0_e598_o607_s0.7,post_step_v2,580,True,True,5.789999999999921,5.789999999999921,0.0,True,True,5.099999999999936,0.6899999999999853,1.169695910250823,0.9239419995666083,0.9239419995666083,0.0,0.7189475673335226,0.27077858950463907,0.44816897782888354,-0.314303125511199,-0.44724899191011513,0.5466425847578312,1.3005101042242835,-0.17507338459295418,0.11085711784829844,-1.5581810767066417,0.6856135348331418,0.17773711681365967,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e598_o607_s0.7.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp17-ego727-raceline0-v0.5,ol0_e727_o739_s0.5,post_step_v2,214,True,True,2.1299999999999986,2.1299999999999986,0.0,False,False,,,-1.488335931588324,-1.488335931588324,-1.488335931588324,0.0,,1.3642192254216248,,-0.32381251371588604,1.9932974443416178,2.019427950103154,2.4835080564985903,-2.4686507002165614,2.5900123758145703,-25.781004015794544,4.975654371119268,0.032344430685043335,False,False,False,False,ego_only_wall_like,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e727_o739_s0.5.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp22-ego941-raceline0-v0.7,ol0_e941_o945_s0.7,post_step_v2,589,True,True,5.879999999999919,5.879999999999919,0.0,True,True,5.279999999999932,0.5999999999999872,0.5572793155388069,0.5572793155388069,0.5572793155388069,0.0,0.6626816288364238,0.3125330544934111,0.35014857434301266,-0.5523171864420844,-0.3182095291499245,0.6374257438173617,0.03667021976873919,-0.008825417409359382,0.047775736333287355,0.23501106380424963,-0.3394726152978561,0.011189066804945469,True,True,True,True,post_overtake_merge_rear_sweep,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol0_e941_o945_s0.7.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp32-ego1368-raceline1-v0.5,ol1_e1368_o1383_s0.5,post_step_v2,691,True,True,6.899999999999897,6.899999999999897,0.0,True,False,,,-0.5845113912776583,-0.5845113912776583,-0.5845113912776583,0.0,,0.15745045154401785,,0.5655252141813751,0.20530410988504408,0.6016382180435187,0.09020614192870191,-0.09685056163824513,0.08028940331464618,-1.196525020568825,0.6958578464584035,0.16801857948303223,False,False,False,False,prepass_or_front_side_opponent_contact,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol1_e1368_o1383_s0.5.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp32-ego1368-raceline1-v0.6,ol1_e1368_o1383_s0.6,post_step_v2,433,True,True,4.319999999999952,4.319999999999952,0.0,True,False,,,-0.5825008224087469,-0.5825008224087469,-0.5825008224087469,0.0,,0.218449936896852,,0.6130600503904182,-0.013505228236127598,0.6132087870981726,-0.3608208712289005,0.2663733503298271,0.12334509845688846,-2.2541323104487745,1.054788030314615,0.24504365026950836,False,False,False,False,prepass_or_front_side_opponent_contact,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol1_e1368_o1383_s0.6.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp33-ego1411-raceline1-v0.5,ol1_e1411_o1426_s0.5,post_step_v2,580,True,True,5.789999999999921,5.789999999999921,0.0,True,False,,,-0.1280430166732458,-0.1280430166732458,-0.1280430166732458,0.0,,0.3123619369667287,,0.13352943673603274,0.31069619519450936,0.3381748603657386,-0.009480785783254397,0.012661562192278097,0.07010786613610431,-0.5418638153936444,0.5162203811996965,0.01164175197482109,False,False,False,False,prepass_or_front_side_opponent_contact,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol1_e1411_o1426_s0.5.npz
ppo_privilege_gru_0722_lr5_tkloff_u0005,ppo_privilege_gru_0722_lr5_tkloff,5,True,74438775a7513dd1ceaf25d69c4e260452f0491bc1a96c88602609ea598b199d,evaluation-sp35-ego1497-raceline1-v0.5,ol1_e1497_o1512_s0.5,post_step_v2,283,True,True,2.819999999999984,2.819999999999984,0.0,True,False,,,-0.6269156878386752,-0.6269156878386752,-0.6269156878386752,0.0,,0.18477603397189513,,0.5606789536426021,-0.310494850281928,0.6409118044702875,-0.12354394076460506,0.2611785585688806,0.028825247425288136,0.9414966290981864,-0.3502299397258388,0.10979901999235153,False,False,False,False,prepass_or_front_side_opponent_contact,eval_results/ppo_privilege_gru_0722_lr5_tkloff_u0005_Austin/multiagents/traces/ol1_e1497_o1512_s0.5.npz
