variant	case_id	startpoint_ordinal	ego_idx	opp_raceline	opp_speedscale	bc_outcome	candidate_outcome	fixed_collision	new_collision	persistent_collision	gained_overtake	lost_overtake	collision_source_variant	collision_terminal_distance_m	collision_relative_progress_m	collision_phase_inferred	collision_cause_inferred	collision_final_time_s	label	history_policy	history_steps	last_0.5s_steer_signed_mean	last_0.5s_steer_abs_mean	last_0.5s_steer_abs_max	last_0.5s_speed_signed_mean	last_0.5s_speed_abs_mean	last_0.5s_speed_abs_max	last_1s_steer_signed_mean	last_1s_steer_abs_mean	last_1s_steer_abs_max	last_1s_speed_signed_mean	last_1s_speed_abs_mean	last_1s_speed_abs_max
seed1_iter10	sp34_ol0_s0.8	34	1454	raceline0	0.8	overtaking	collision	0	1	0	0	1	seed1_iter10	0.5665313658178305	-0.478485107421875	alongside	opponent_proximity_inferred	5.199999809265137	new_collision	seed1_iter10	520	0.0017613117955625056	0.0017613117955625056	0.0023777373135089874	-0.04427859306335449	0.04427859306335449	0.06265449523925781	0.0011230288352817297	0.002377806743606925	0.011590465903282166	-0.038242278099060056	0.038242278099060056	0.06265449523925781
seed1_iter10	sp36_ol0_s0.7	36	1539	raceline0	0.7	overtaking	collision	0	1	0	0	1	seed1_iter10	0.5091313706707832	-0.620697021484375	ego_ahead	opponent_proximity_inferred	4.510000228881836	new_collision	seed1_iter10	451	0.009577082693576813	0.009577082693576813	0.014238536357879639	-0.025185546875	0.03140451431274414	0.05661201477050781	0.0032813591160811484	0.006751646508928388	0.014238536357879639	-0.015975322723388672	0.027449703216552733	0.05661201477050781
seed1_iter10	sp36_ol1_s0.5	36	1539	raceline1	0.5	overtaking	collision	0	1	0	0	1	seed1_iter10	0.5415129702622803	0.42822265625	alongside	opponent_proximity_inferred	3.4200000762939453	new_collision	seed1_iter10	342	0.0064375133998692035	0.0067987899668514725	0.014031939208507538	-0.013791465759277343	0.018263845443725585	0.04413795471191406	0.00540356730169151	0.005741425649612211	0.018046468496322632	-0.03398171901702881	0.03621790885925293	0.07111406326293945
seed1_iter10	sp37_ol2_s0.7	37	1582	raceline2	0.7	collision	overtaking	1	0	0	1	0	BC	0.6293443638961354	-0.554473876953125	alongside	opponent_proximity_inferred	3.2699999809265137	fixed_collision	BC	327	0.006038683354854584	0.00936960369348526	0.024446353316307068	-0.057464189529418945	0.057464189529418945	0.08112621307373047	0.004495824873447418	0.006705260425806045	0.024446353316307068	-0.04821035861968994	0.04821035861968994	0.08112621307373047
seed1_iter10	sp40_ol0_s0.7	40	1711	raceline0	0.7	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter10	sp45_ol0_s0.7	45	1924	raceline0	0.7	collision	overtaking	1	0	0	1	0	BC	0.5573763572074079	-0.42291259765625	alongside	opponent_proximity_inferred	7.130000114440918	fixed_collision	BC	713	0.020787354111671447	0.020787354111671447	0.02764664590358734	-0.05542185544967651	0.05542185544967651	0.07596302032470703	0.016449078172445297	0.016449078172445297	0.02764664590358734	-0.0483895742893219	0.049967066049575806	0.07596302032470703
seed1_iter10	sp45_ol2_s0.8	45	1924	raceline2	0.8	overtaking	collision	0	1	0	0	1	seed1_iter10	0.6438810226898155	-0.548828125	alongside	opponent_proximity_inferred	6.920000076293945	new_collision	seed1_iter10	692	0.0032044196128845214	0.004729086756706238	0.014832645654678345	-0.04360799789428711	0.04383235931396484	0.06482744216918945	0.003144844621419907	0.004062219113111496	0.014832645654678345	-0.03450321674346924	0.034615397453308105	0.06482744216918945
seed1_iter20	sp00_ol2_s0.8	0	0	raceline2	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp01_ol0_s0.7	1	42	raceline0	0.7	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp01_ol2_s0.7	1	42	raceline2	0.7	collision	overtaking	1	0	0	1	0	BC	0.35892822340275443	-0.0515289306640625	alongside	opponent_proximity_inferred	4.710000038146973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
