group,run,update,scenario_id,episode_key,outcome,opp_raceline,opponent_speed_scale,avg_speed_mps,global_min_surface_dist_m,final_relative_position_m_json,trace_frames,trace_duration_s,terminal_post_step_present,terminal_post_step_true_count,collision_flag_present_in_trace,reference_index,reference_kind,reference_time_s,json_collision_time_s,trace_reference_lag_to_collision_s,initial_relative_progress_m,max_relative_progress_before_reference_m,relative_progress_at_reference_m,first_overtake_time_s,time_from_overtake_to_reference_s,opponent_longitudinal_in_ego_frame_m,opponent_lateral_in_ego_frame_m,center_distance_at_reference_m,rear_center_distance_at_reference_m,front_center_distance_at_reference_m,max_abs_estimated_sideslip_deg_0p5s_5step,max_abs_estimated_sideslip_deg_0p5s_10step,max_abs_estimated_yaw_rate_radps_0p5s,lateral_closure_m_0p5s,lateral_closure_m_1p0s,min_center_distance_m_1p0s,vehicle_collision,wall_only_collision,overtake_before_reference,opponent_behind_at_reference,lateral_merge_closing_0p5s,post_overtake_rear_contact,post_overtake_rear_merge_contact,high_sideslip_tail_3deg,high_sideslip_tail_5deg,high_sideslip_tail_8deg,trace_missing
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp13-ego556-raceline0-v0.8,ol0_e556_o565_s0.8,ego_collision,0,0.8,5.347962984716622,0.0026,0.29249182617803626,704,7.0299999999998946,False,0,False,703,nearest_preterminal_frame,7.0299999999998946,7.039999999999894,0.009999999999999787,-3.042886322651867,0.2801058326160728,0.2801058326160728,6.839999999999899,0.18999999999999595,-0.08361858708803135,-0.4853232428172444,0.4924740786328197,0.5273821551912679,0.6124781617627708,17.959635452959137,23.5381251487006,4.813819749902374,0.2842908648656601,0.2687060260375678,0.4924740786328197,True,False,True,True,True,True,True,True,True,True,False
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp15-ego641-raceline1-v0.6,ol1_e641_o656_s0.6,ego_collision,1,0.6,4.1806114510195185,0.0028,0.053991057954846156,724,7.22999999999989,False,0,False,723,nearest_preterminal_frame,7.22999999999989,7.23999999999989,0.009999999999999787,-2.9994579999999758,0.025813246216387142,0.025813246216387142,7.22999999999989,0.0,0.0038614001733940917,-0.8350174363191741,0.8350263644750057,0.8852167200572488,0.8826830786118971,3.781480819605424,4.4766940151541545,0.8904779435340794,-0.22554245442247478,-0.3574578392849031,0.8290419004364469,False,True,True,False,False,False,False,False,False,False,False
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp15-ego641-raceline2-v0.7,ol2_e641_o661_s0.7,ego_collision,2,0.7,4.714368753492725,0.0086,0.4235228411877756,437,4.3599999999999515,False,0,False,436,nearest_preterminal_frame,4.3599999999999515,4.369999999999951,0.009999999999999787,-3.120405458589886,0.4081683066933124,0.4081683066933124,4.109999999999957,0.24999999999999467,-0.5417822065228367,0.30046112443880924,0.6195198516623881,0.3920091412461475,0.8843859600802313,17.375191959393284,24.025808451327933,5.109780952120124,0.2670680648424639,0.5589961786478141,0.5540849800448883,True,False,True,True,True,True,True,True,True,True,False
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp16-ego684-raceline2-v0.8,ol2_e684_o702_s0.8,ego_collision,2,0.8,5.298771758115413,0.0016,0.13463730707189825,666,6.649999999999903,False,0,False,665,nearest_preterminal_frame,6.649999999999903,6.659999999999902,0.009999999999999787,-2.9920427589312055,0.17244904882801393,0.13001156212538945,5.1099999999999355,1.5399999999999672,-0.12220315827704653,0.3234147498052304,0.3457321395017603,0.3643526869446384,0.5239356297152844,0.41616002430346427,0.5202566953810946,0.07758589294099837,0.10131734016859212,0.1760537441571593,0.3457321395017603,True,False,True,True,True,True,True,False,False,False,False
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp17-ego727-raceline1-v0.5,ol1_e727_o742_s0.5,ego_collision,1,0.5,4.115207109532222,0.004,-0.5886223734329405,281,2.7999999999999843,False,0,False,280,nearest_preterminal_frame,2.7999999999999843,2.809999999999984,0.009999999999999787,-2.999458000000004,-0.5929826425182227,-0.5929826425182227,,,0.580506378580621,-0.24851119476830016,0.6314629597196935,0.9052840267422791,0.3822980119241992,0.794697275749383,1.1256564464923269,0.3738532554740628,-0.0540837364603903,0.04517992506566085,0.6314629597196935,True,False,False,False,False,False,False,False,False,False,False
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp17-ego727-raceline2-v0.5,ol2_e727_o745_s0.5,ego_collision,2,0.5,3.116498407623869,0.0,-0.3888169319162671,112,1.1100000000000008,False,0,False,111,nearest_preterminal_frame,1.1100000000000008,1.1200000000000008,0.010000000000000009,-2.1996019999999987,-0.4000655105788269,-0.4000655105788269,,,0.4384380177174794,0.30511041970332686,0.5341537827176487,0.7897558571278285,0.33930253950631584,19.01871498918929,25.026862384580742,5.726520189554195,0.13389141951201844,0.16920498964470376,0.5341537827176487,True,False,False,False,True,False,False,False,False,False,False
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp17-ego727-raceline2-v0.7,ol2_e727_o745_s0.7,ego_collision,2,0.7,4.4739295300441695,0.0035,-0.5758302475111066,242,2.4099999999999926,False,0,False,241,nearest_preterminal_frame,2.4099999999999926,2.4199999999999924,0.009999999999999787,-2.1996019999999987,-0.5856656667247364,-0.5856656667247364,,,0.5826954092061369,0.1842086949471139,0.6111192872132463,0.8919249523046128,0.3458373112671142,1.4761478109872888,1.8145609015159905,0.2684200465388788,0.12076244129922015,0.19535834051615936,0.6111192872132463,True,False,False,False,True,False,False,False,False,False,False
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp2-ego85-raceline2-v0.8,ol2_e85_o106_s0.8,ego_collision,2,0.8,5.433452922306859,0.013,0.006662732025205287,600,5.989999999999917,False,0,False,599,nearest_preterminal_frame,5.989999999999917,5.9999999999999165,0.009999999999999787,-2.990392967341876,0.021834892798864303,0.021834892798864303,5.899999999999919,0.08999999999999808,0.0003157905801675631,0.327196965421675,0.3271971178125555,0.4374255507413124,0.43700663080592506,7.95049668514391,10.84909307449382,1.79936231642919,0.3540719088518056,0.40893424524247257,0.3271971178125555,True,False,True,False,True,False,False,False,False,False,False
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp21-ego898-raceline0-v0.7,ol0_e898_o902_s0.7,ego_collision,0,0.7,5.008970165850992,0.0123,0.43224022231123627,601,5.9999999999999165,False,0,False,600,nearest_preterminal_frame,5.9999999999999165,6.009999999999916,0.009999999999999787,-2.9938366206783087,0.5889032054729171,0.4248171465690973,5.569999999999926,0.42999999999999083,-0.14815152735092785,-0.4858571919978865,0.5079429949044321,0.5061404945358016,0.6542430526463556,12.072167047451185,16.494397758109915,3.526749334107046,0.29297813797168887,0.2516762603893719,0.5079429949044321,True,False,True,True,True,True,True,True,True,True,False
G2,ppo_privilege_gru_0721_bs25600,15,evaluation-sp25-ego1069-raceline1-v0.6,ol1_e1069_o1084_s0.6,ego_collision,1,0.6,4.411531508260103,0.0015,0.05067169442622799,592,5.909999999999918,False,0,False,591,nearest_preterminal_frame,5.909999999999918,5.919999999999918,0.009999999999999787,-2.999458000000004,0.027196621216575068,0.027196621216575068,5.899999999999919,0.009999999999999787,-0.00047733801878724336,0.3362555103558901,0.33625584916293166,0.4437241711304306,0.4443476703519226,3.6647232901988978,4.85294510960453,0.8704594898087067,0.2651224673463044,0.16961933225061732,0.33625584916293166,True,False,True,True,True,True,True,True,False,False,False
