group,arm,run,update,rollout_policy_update,checkpoint_update,rollout_collision_rate,rollout_overtake_rate,policy_gradient_loss,value_loss_post_update,explained_variance_post_update,collision_explained_variance_post,ordinary_explained_variance_post,approx_kl_mean,approx_kl_max,clip_fraction_mean,clip_fraction_max,actor_optimizer_steps_planned,actor_optimizer_steps_completed,actor_early_stop_triggered,actor_grad_norm_mean,actor_grad_norm_max,critic_grad_norm_mean,critic_grad_norm_max,ego_collision_count,episode_count,overtake_count,follow_count,mean_episode_return,mean_collision_episode_return,mean_ordinary_episode_return,mean_relative_position_m,mean_collision_relative_position_m,mean_ordinary_relative_position_m,mean_ego_collision_time,mean_episode_min_obb_clearance_m,mean_episode_min_wall_clearance_m,mean_episode_risk_active_fraction,mean_episode_reward_progress,mean_episode_reward_relative,mean_episode_reward_collision,mean_episode_reward_risk,rollout_wall_seconds,actor_train_wall_seconds,critic_train_wall_seconds
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,20,19,20,0.27631578947368424,0.4144736842105263,0.00035855065325884894,0.02948180087349966,0.9379833952439158,0.9229997139432969,0.925345247522886,0.0039527445792919,0.0073198662139475346,0.03625976464445557,0.06867187470197678,16,16,False,20.006450071930885,45.978092193603516,0.7243979923427105,2.2509138584136963,42,152,63,47,-0.10043060574416,-0.562261300455091,0.5013487843337199,2.6982643768397048,1.3593811770262045,4.442869758414872,3.829047619047579,0.40312388939280214,0.46034126933349273,0.06991324254923749,0.34752628642556777,0.1046270984628857,-0.5526315789473685,4.758831475495793e-05,93.48215372599952,17.48300392800229,51.86048146599933
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,21,20,21,0.3026315789473684,0.40789473684210525,0.004085817223526078,0.03742371801257669,0.937254497843986,0.9213726426018898,0.9387795499404772,0.4431079248370952,3.832719564437866,0.09170409876969643,0.22695311903953552,16,16,False,64.56278508901596,160.97659301757812,0.4441698770970106,1.3327369689941406,46,152,62,44,-0.15973486871827652,-0.6705487697341828,0.5239698911030133,3.1309062886431858,2.5009502121145086,3.974078267996954,3.2528260869564916,0.37585273619583043,0.4640310841682717,0.08957538487223968,0.3332173720030841,0.1124919831311297,-0.6052631578947368,-0.0001810659577534578,91.64463792800234,17.352760811001644,51.85323508499641
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,22,21,22,0.2532467532467532,0.4935064935064935,0.0012653960043123025,0.058919686423734755,0.9055608258168838,0.9028812400964369,0.8274044791270868,0.055365539603808425,0.4447918236255646,0.0583837873318771,0.15078124403953552,16,16,False,21.619054436683655,50.29004669189453,0.6591949686408043,1.5371261835098267,39,154,76,39,-0.03947223440857976,-0.44976531880528575,0.5223136811499869,3.3915452102545975,2.0183162362242038,5.271812574696213,3.283333333333303,0.32673721952063894,0.462706003710233,0.10094443786109328,0.3482562308407242,0.11905101563306046,-0.5064935064935064,-0.0002859743888579529,91.34746296100275,17.51148488999752,52.21530417000031
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,23,22,23,0.2781456953642384,0.44370860927152317,0.0018929615998244387,0.03377743509697873,0.9220472522837951,0.9110139462662235,0.921901807296891,0.16657694239736884,1.7013685703277588,0.06038085811178462,0.18132811784744263,16,16,False,34.45778527855873,80.31900024414062,1.0069985184818506,2.343398332595825,42,151,67,42,-0.08442080571538227,-0.5347961899257077,0.511460471855202,3.6329379139955478,2.6474685176613604,4.936789730683858,3.4388095238094896,0.3398152457808853,0.42995226618211035,0.08973945783888655,0.34783289098910375,0.12378234737611181,-0.5562913907284768,0.0002553466478790054,92.62469429300108,17.363130460998946,51.671029815999646
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,24,23,24,0.2585034013605442,0.46938775510204084,0.00035478623940443654,0.03354699637854912,0.9293733408110859,0.9204334314699865,0.8892823811411249,0.04340458220278379,0.590450644493103,0.037578123970888555,0.11289062350988388,16,16,False,25.040702030062675,52.03291702270508,0.46349913664162157,1.0204821825027466,38,147,69,40,-0.03376383804464686,-0.48458268577920316,0.5349614775589473,3.7311682048291877,1.986827977033104,5.931720492202708,3.8542105263157462,0.3632875256637731,0.47673642820794404,0.08426340786190283,0.3570246906579414,0.12579819779906007,-0.5170068027210885,0.0004200762194400869,93.40081550499963,17.20481069000016,51.3225686040023
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,25,24,25,0.25165562913907286,0.44370860927152317,0.0014137868373654827,0.027497298417801627,0.9408050788775355,0.9270981547355006,0.9357779703012569,0.0474929101204907,0.6626574397087097,0.044570311409188434,0.10499999672174454,16,16,False,29.632771492004395,53.306373596191406,0.5367187228053808,0.9765007495880127,38,151,67,46,-0.03818739366180974,-0.4722040084790783,0.5518039421054144,3.4534458100247503,2.1980126546099363,5.1600502556667625,3.3592105263157532,0.37424725864573355,0.4616669275886483,0.09641587648647551,0.3457617514775833,0.11918728252405052,-0.5033112582781457,0.00017483061470201743,93.00630685099895,17.357665888001065,51.85254290100056
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,26,25,26,0.2671232876712329,0.4520547945205479,0.0001314583663032387,0.03436181909632337,0.9080397713490185,0.8852758711768018,0.8880225530523911,0.05011350625070918,0.732550323009491,0.027871093000612746,0.05804687365889549,16,16,False,19.229118689894676,55.29986572265625,0.7274611327797175,1.7609586715698242,39,146,66,41,-0.048040577024303976,-0.5099987734119082,0.543843362097314,3.589118086846814,2.761560409216831,4.64942636131023,4.251794871794822,0.3571231643082162,0.46655049053500325,0.068210953498516,0.36382349073390996,0.12221220169618906,-0.5342465753424658,0.00017030588806277733,92.78946842399819,17.139957870000217,51.263774201997876
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,27,26,27,0.28104575163398693,0.41830065359477125,0.0013631912015170666,0.04381575223966693,0.9119841498938324,0.8987341690418917,0.880249338157905,0.005775645195681134,0.012264439836144447,0.06397460741573013,0.14812499284744263,16,16,False,46.86843881011009,89.24781799316406,0.459873603656888,1.054520845413208,43,153,64,46,-0.1040956227675115,-0.5390465912681455,0.5007580678036827,3.5034228734893613,2.9298568278805006,4.301038155664182,3.1423255813953204,0.3507324147474562,0.45986090099520066,0.09202874381119136,0.33875888471526167,0.11941359919949528,-0.5620915032679739,-0.0001766034142946403,94.0923851080006,17.472090176001075,52.14672702700045
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,28,27,28,0.2127659574468085,0.5035460992907801,5.7229900976008e-05,0.026507733129339375,0.9411940504066117,0.9293621696126806,0.9261682556860278,0.121828450501489,1.2778233289718628,0.0256591788293008,0.08960936963558197,16,16,False,16.39382752776146,71.31148529052734,0.49419639855623243,1.4356415271759033,30,141,71,40,0.1046022290952106,-0.2876750260550781,0.5765608016979016,5.139677055929267,4.207978164554517,6.260627284614512,4.182333333333285,0.3629400852171228,0.4746167312721532,0.06642692253822681,0.37983207795559704,0.15028210885899465,-0.425531914893617,1.99571742359752e-05,93.96310552700015,17.260619051001413,51.371534974001406
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,29,28,29,0.2534246575342466,0.4657534246575342,3.782819505415702e-05,0.033541443999359793,0.9395279234486974,0.9225578971597974,0.924953024596591,0.10309522952418775,1.5729814767837524,0.02351562469266355,0.06312499940395355,16,16,False,16.485414147377014,33.7859992980957,0.6808464836329222,1.7814637422561646,37,146,68,41,-0.002503935078636428,-0.47205515855366387,0.5991085699987423,4.717528599473445,2.8956092155604405,7.051862810111982,3.958918918918876,0.3994927278573587,0.47701642044198383,0.07553850624774776,0.35857087121466513,0.14580026131638613,-0.5068493150684932,-2.57525411945243e-05,92.9364982549996,17.272681442998874,51.53774730099758
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,30,29,30,0.20279720279720279,0.5454545454545454,0.0036986640164826667,0.03588672267890336,0.9059636928899524,0.9027370677362223,0.8732978575351854,0.015088822011312009,0.11299610882997513,0.10962890394148417,0.2647656202316284,16,16,False,65.56434914469719,135.95986938476562,0.6969241339713335,1.7371867895126343,29,143,78,36,0.10561827489930775,-0.21102504727687765,0.4855902615107302,4.431858698887638,4.040105249929344,4.9019628376375906,3.8806896551723704,0.3641844772324417,0.4761748801174563,0.08519640832428094,0.37272868011096355,0.1382858617595821,-0.40559440559440557,0.00019813862316772979,94.37306500100021,17.217877437000425,51.354782856000384
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,1,0,1,0.3092105263157895,0.4473684210526316,0.007237571246920993,0.07139069270163334,0.7488194427423085,0.7342100260395144,0.6653439337003462,0.4122702039964497,2.4268271923065186,0.15783853828907013,0.2865625023841858,16,5,True,47.481821632385255,101.15145111083984,1.4179328121244907,3.3546371459960938,47,152,68,37,-0.15186829461062287,-0.6906989663541178,0.5693358352614395,3.7685067949515307,2.1043524152858786,5.995913426196327,3.808936170212726,0.3210929756654264,0.4390043794655749,0.0870300325493538,0.3405659229616812,0.1261396150758906,-0.618421052631579,-0.00015278001661573598,250.87086299199996,19.182207729000083,167.20709017799982
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,2,1,2,0.3026315789473684,0.3815789473684211,0.0015735484551018747,0.060701940010069365,0.8159096140922233,0.7929328795082627,0.7811974609323719,0.008965225253719834,0.04780052229762077,0.05635937331244349,0.10828124731779099,16,9,True,20.203722318013508,56.97049331665039,0.917435298115015,2.202512741088867,46,152,58,48,-0.1578092445305618,-0.6221282139614538,0.48062933843691463,3.070192264487774,2.5811838527733233,3.7425788305951437,3.711956521739092,0.42708449323892145,0.44862096322947626,0.09773593453392541,0.33657754660964495,0.11070296324729996,-0.6052631578947368,0.00017340350723011946,250.79599346400005,32.43308165999997,165.07483383199997
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,3,2,3,0.28378378378378377,0.46621621621621623,0.0011528054506051433,0.06272355899493072,0.822556102814216,0.7877034680333757,0.8291815308910944,0.006948373615741725,0.03168296813964844,0.0425130200261871,0.0873437449336052,16,5,True,34.62882843017578,85.4535140991211,1.2472159788012505,3.497276544570923,42,148,69,37,-0.06405051252975213,-0.5102607017517776,0.505725575246065,4.793382036057519,3.608532665792033,6.306343539627293,3.9378571428571005,0.33224585204848944,0.4286671112197164,0.08812545988093161,0.3578472091460927,0.14562597280021838,-0.5675675675675675,4.387309150437851e-05,234.57616160199996,17.503916319999917,158.24164105199998
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,4,3,4,0.3924050632911392,0.36075949367088606,0.0007350292752960286,0.13133161166387042,0.8026113539156701,0.7742045062360339,0.7478313295777532,0.009374013094105368,0.048845160752534866,0.036953124372909464,0.10234374552965164,16,5,True,25.08691625595093,42.666770935058594,2.6922649264335634,5.628075122833252,62,158,57,39,-0.3312518402442129,-0.8732303574254006,0.424233365523503,3.5715003849641307,2.1712675289626433,5.523340123632872,4.181129032258017,0.29974893448338263,0.4655261970262681,0.09677124233120395,0.33158097879429616,0.12167568479654822,-0.7848101265822784,0.0003016227472212126,235.71460774000025,18.885100230000262,169.06462150900006
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,5,4,5,0.25675675675675674,0.4527027027027027,0.0010786329756626856,0.11874124975881797,0.8626255813433154,0.8398646253463904,0.7978805128975978,0.0031803685305566987,0.009552923031151295,0.04606445215176791,0.13828124105930328,16,16,False,46.41703909635544,334.23883056640625,1.2695518083870412,3.0804495811462402,38,148,67,43,-0.019728885675015576,-0.46910017618573024,0.5700709331202974,4.090288908099383,3.78815009603684,4.486846098931469,4.236578947368373,0.3893712485776583,0.41411390919939356,0.06442335287990912,0.361039915716638,0.13257881609114772,-0.5135135135135135,0.0001658960307121927,235.82880308999984,57.217828210000334,171.86721959100032
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,6,5,6,0.33766233766233766,0.4155844155844156,0.0007815414232027473,0.09870937731689551,0.8331498670335055,0.8083208720672683,0.8028490793316341,0.0034410351215046833,0.007457757834345102,0.0583349596709013,0.12523436546325684,16,16,False,21.65303821861744,41.761043548583984,1.368365478515625,2.803767442703247,52,154,64,38,-0.22931124616133314,-0.697082879131626,0.411176066674914,3.5358113604556896,2.427668210830964,5.053115057634161,3.5323076923076573,0.3406062586686268,0.4711954141904085,0.0965641622488585,0.3254016050061468,0.12095051147795781,-0.6753246753246753,-0.0003386873207624675,243.45766467299973,53.838605345999895,160.59693401899995
