group,run,update,scenario_id,episode_key,bc_strict_5deg_tail,outcome,ego_collision,opp_collision,collision_time_s,avg_speed_mps,final_relative_position_m,trace_frames,trace_duration_s,terminal_post_step_present,terminal_post_step_true_count,collision_flag_present_in_trace,reference_index,reference_kind,reference_time_s,json_collision_time_s,trace_reference_lag_to_collision_s,initial_relative_progress_m,max_relative_progress_before_reference_m,relative_progress_at_reference_m,first_overtake_time_s,time_from_overtake_to_reference_s,opponent_longitudinal_in_ego_frame_m,opponent_lateral_in_ego_frame_m,center_distance_at_reference_m,rear_center_distance_at_reference_m,front_center_distance_at_reference_m,max_abs_estimated_sideslip_deg_0p5s_5step,max_abs_estimated_sideslip_deg_0p5s_10step,max_abs_estimated_yaw_rate_radps_0p5s,lateral_closure_m_0p5s,lateral_closure_m_1p0s,min_center_distance_m_1p0s,vehicle_collision,wall_only_collision,overtake_before_reference,opponent_behind_at_reference,lateral_merge_closing_0p5s,post_overtake_rear_contact,post_overtake_rear_merge_contact,high_sideslip_tail_3deg,high_sideslip_tail_5deg,high_sideslip_tail_8deg,trace_missing
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp1-ego42-raceline2-v0.7,ol2_e42_o63_s0.7,True,ego_collision,True,True,4.719999999999944,5.367436540660792,0.03311267643900351,472,4.709999999999944,False,0,False,471,nearest_preterminal_frame,4.709999999999944,4.719999999999944,0.009999999999999787,-2.99293232204343,0.027474930813781384,0.027474930813781384,4.679999999999945,0.02999999999999936,-0.05813760363517088,0.328311410265943,0.3334192002078653,0.4019310301019983,0.47852708719115544,10.926546290116624,12.59533718440865,2.405526454746052,0.39453440043502486,0.5693252100019681,0.3334192002078653,True,False,True,True,True,True,True,True,True,True,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp12-ego513-raceline0-v0.8,ol0_e513_o523_s0.8,False,ego_collision,True,True,6.119999999999914,6.013834163474137,-0.03240047071150798,612,6.109999999999914,False,0,False,611,nearest_preterminal_frame,6.109999999999914,6.119999999999914,0.009999999999999787,-2.918793232532323,0.15748960723385608,-0.026656289309954673,5.539999999999926,0.5699999999999878,0.02873411396167673,-0.3185853063991654,0.31987848748956643,0.4506528962032589,0.41201512188370004,2.2457394867926306,2.579190732342354,0.5349604052114757,0.1633387734304061,0.4204860760278951,0.31987848748956643,True,False,True,False,True,False,False,False,False,False,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp13-ego556-raceline0-v0.8,ol0_e556_o565_s0.8,True,ego_collision,True,True,6.979999999999896,5.355877837689348,0.2057349859627493,698,6.969999999999896,False,0,False,697,nearest_preterminal_frame,6.969999999999896,6.979999999999896,0.009999999999999787,-3.042886322651867,0.19066602504997832,0.19066602504997832,6.849999999999898,0.11999999999999744,-0.04282683016515969,-0.48135822562519615,0.4832596390751381,0.5411102634983374,0.585217429896637,15.530897178533705,20.356837294440428,4.349184143912014,0.3101129051823047,0.19712475692296405,0.4832596390751381,True,False,True,True,True,True,True,True,True,True,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp15-ego641-raceline2-v0.7,ol2_e641_o661_s0.7,True,ego_collision,True,True,4.3599999999999515,4.684472287543634,0.20448203197395287,436,4.349999999999952,False,0,False,435,nearest_preterminal_frame,4.349999999999952,4.3599999999999515,0.009999999999999787,-3.120405458589886,0.1966895152097834,0.19491007467459553,4.2199999999999545,0.12999999999999723,-0.2769052881600969,0.3201438244981544,0.4232831286211764,0.3204115164011356,0.651055814894689,18.52966623245455,24.928913693939453,5.037606941056217,0.02218662370324148,0.5343055232894182,0.42004989901679657,True,False,True,True,False,True,False,False,False,False,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp2-ego85-raceline2-v0.8,ol2_e85_o106_s0.8,True,ego_collision,True,True,5.789999999999921,5.5171406260009785,0.2246919352752741,579,5.779999999999921,False,0,False,578,nearest_preterminal_frame,5.779999999999921,5.789999999999921,0.009999999999999787,-2.990392967341876,0.21357901411647617,0.21357901411647617,5.5799999999999255,0.19999999999999574,-0.16026153388314107,0.34571286495793274,0.381052679087812,0.36925527022342847,0.5676731752445423,11.304901799593813,15.13366496885531,3.125758396564291,0.32493573930455943,0.5630297172713413,0.381052679087812,True,False,True,True,True,True,True,True,True,True,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp21-ego898-raceline0-v0.7,ol0_e898_o902_s0.7,True,ego_collision,True,True,6.079999999999915,4.963109439476409,0.191880749153853,608,6.069999999999915,False,0,False,607,nearest_preterminal_frame,6.069999999999915,6.079999999999915,0.009999999999999787,-2.9938366206783087,0.26357755090702994,0.18227892335738716,5.699999999999923,0.3699999999999921,0.021164927762180957,-0.4599341156756673,0.4604208345954128,0.5553044237457517,0.5327397927951989,12.875266997756183,17.422081768521036,3.449413443912624,0.3365074934666528,0.1449413432509939,0.4604208345954128,True,False,True,False,True,False,False,False,False,False,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp30-ego1283-raceline0-v0.7,ol0_e1283_o1279_s0.7,False,ego_collision,True,True,7.329999999999888,4.587201270360789,0.9953951198824029,733,7.319999999999888,False,0,False,732,nearest_preterminal_frame,7.319999999999888,7.329999999999888,0.009999999999999787,-2.7444438072821526,0.9833114273480419,0.9833114273480419,6.079999999999915,1.2399999999999736,-0.31080239976638324,-0.46224711578803523,0.5570193243998811,0.46271496181817773,0.7580474388977263,2.7176558716395074,1.1027041308076522,2.0756388260910885,0.09628365322196841,0.14445660517371905,0.5570193243998811,True,False,True,True,False,True,False,False,False,False,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp37-ego1582-raceline2-v0.7,ol2_e1582_o1611_s0.7,True,ego_collision,True,True,3.2999999999999736,4.452843299117147,0.5285493195041795,330,3.289999999999974,False,0,False,329,nearest_preterminal_frame,3.289999999999974,3.2999999999999736,0.009999999999999787,-3.0969620622893785,0.5021297413617845,0.5021297413617845,2.949999999999981,0.33999999999999275,-0.5112750665839376,0.3182192952735598,0.6022173308655364,0.387590215273976,0.8621515250891195,13.29540267983224,19.21237124714463,3.3244551553429647,0.29653789582314577,0.0830601255330829,0.4740661847136305,True,False,True,True,True,True,True,True,True,True,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp4-ego171-raceline2-v0.8,ol2_e171_o194_s0.8,True,overtake,False,False,,5.440882815195389,0.928817907590826,801,7.999999999999874,False,0,False,664,closest_approach,6.639999999999903,,,-2.9674902499793063,0.5396550635002484,0.5396550635002484,6.169999999999913,0.46999999999999,-0.49695896338603696,0.4720370246438713,0.6854102158009926,0.5154133924923389,0.9176727971822335,9.03029752189246,11.597782287461305,2.341362102271397,0.48098779449460305,0.6689230300671879,0.6854102158009926,False,False,True,True,True,False,False,False,False,False,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp45-ego1924-raceline0-v0.7,ol0_e1924_o1919_s0.7,False,ego_collision,True,True,6.699999999999902,5.13701330960813,0.4676134060211439,670,6.689999999999902,False,0,False,669,nearest_preterminal_frame,6.689999999999902,6.699999999999902,0.009999999999999787,-3.036418303031155,0.5271692283857305,0.44770411276078903,6.109999999999914,0.5799999999999876,-0.09778973272205313,-0.4214603416483629,0.432656505103304,0.46322090456866744,0.5727213077815388,5.160862735883037,8.147346574085379,2.3209155237568484,0.19647399720784187,0.3308316625596299,0.432656505103304,True,False,True,True,True,True,True,True,True,False,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp5-ego213-raceline0-v0.7,ol0_e213_o221_s0.7,True,ego_collision,True,True,3.3099999999999734,4.776269181044128,0.3371748152541727,331,3.2999999999999736,False,0,False,330,nearest_preterminal_frame,3.2999999999999736,3.3099999999999734,0.009999999999999787,-3.1763834205093247,0.32528283239062716,0.32528283239062716,3.089999999999978,0.20999999999999552,-0.28953715467724594,-0.33578346091196654,0.4433760216346996,0.3357837799057765,0.6697864184002361,6.724533522899601,8.21652643448041,1.2188683919488057,0.2982002185781243,0.02329846873100716,0.43175018213609284,True,False,True,True,True,True,True,True,True,False,False
G3,ppo_privilege_gru_0721_clip010,1,evaluation-sp9-ego384-raceline0-v0.7,ol0_e384_o391_s0.7,False,overtake,False,False,,5.367854957013356,1.5377862116654057,801,7.999999999999874,False,0,False,732,closest_approach,7.319999999999888,,,-2.819123226821347,0.3373718493422473,0.3373718493422473,7.069999999999894,0.24999999999999467,-0.25076608159890534,-0.7053835192627468,0.7486317765951207,0.7064737855013459,0.8888159900988122,3.509895406734475,4.327224343967067,0.22405677453669648,0.1356467117345277,0.08701558252621955,0.7486317765951207,False,False,True,True,True,False,False,False,False,False,False
G3,ppo_privilege_gru_0721_clip010,5,evaluation-sp1-ego42-raceline2-v0.7,ol2_e42_o63_s0.7,True,ego_collision,True,True,4.679999999999945,5.40394041616749,0.19529506524006024,468,4.669999999999945,False,0,False,467,nearest_preterminal_frame,4.669999999999945,4.679999999999945,0.009999999999999787,-2.99293232204343,0.19122890194665843,0.19122890194665843,4.4999999999999485,0.16999999999999638,-0.23448349887926817,0.31828391710605497,0.3953317127869175,0.3230893588236268,0.6135043540880646,13.169321849125133,15.142302287770448,2.4316066395337708,0.4443157470051152,0.5570941249371559,0.3953317127869175,True,False,True,True,True,True,True,True,True,True,False
G3,ppo_privilege_gru_0721_clip010,5,evaluation-sp12-ego513-raceline0-v0.8,ol0_e513_o523_s0.8,False,ego_collision,True,True,5.869999999999919,6.03619062173463,0.09368439808511653,587,5.8599999999999195,False,0,False,586,nearest_preterminal_frame,5.8599999999999195,5.869999999999919,0.009999999999999787,-2.918793232532323,0.14034024370539555,0.09774647228280742,5.499999999999927,0.3599999999999923,-0.08736680174238734,-0.31492666976814754,0.3268206930075717,0.3744850068659155,0.491512472261421,3.5864097748642423,4.279653770538953,0.4902799812999097,0.2871182865664652,0.36370942328480615,0.3268206930075717,True,False,True,True,True,True,True,True,False,False,False
G3,ppo_privilege_gru_0721_clip010,5,evaluation-sp13-ego556-raceline0-v0.8,ol0_e556_o565_s0.8,True,overtake,False,False,,5.384414579087998,2.517388995369572,801,7.999999999999874,False,0,False,699,closest_approach,6.989999999999895,,,-3.042886322651867,0.416196009165958,0.3919537113321212,6.539999999999905,0.4499999999999904,-0.17598809722150063,-0.5279324973497752,0.5564930656545639,0.5401031713785287,0.7041715902463582,19.43883765606774,25.157964163650025,5.196092023939216,0.23836578463952962,0.17634592406741978,0.5564930656545639,False,False,True,True,True,False,False,False,False,False,False
G3,ppo_privilege_gru_0721_clip010,5,evaluation-sp15-ego641-raceline2-v0.7,ol2_e641_o661_s0.7,True,ego_collision,True,True,4.369999999999951,4.677521521807537,0.23256876284168015,437,4.3599999999999515,False,0,False,436,nearest_preterminal_frame,4.3599999999999515,4.369999999999951,0.009999999999999787,-3.120405458589886,0.2224402821971978,0.2224402821971978,4.209999999999955,0.1499999999999968,-0.3070744507875262,0.3218355064669146,0.44482896887374174,0.32228811658593787,0.6782890187862703,18.98037896438429,25.603163082742917,5.36276972720766,0.08305239667102071,0.47064681430133304,0.4388393958686406,True,False,True,True,False,True,False,False,False,False,False
G3,ppo_privilege_gru_0721_clip010,5,evaluation-sp2-ego85-raceline2-v0.8,ol2_e85_o106_s0.8,True,ego_collision,True,True,5.769999999999921,5.518816813870781,0.20736964506326672,577,5.759999999999922,False,0,False,576,nearest_preterminal_frame,5.759999999999922,5.769999999999921,0.009999999999999787,-2.990392967341876,0.20237774817178433,0.20237774817178433,5.5799999999999255,0.17999999999999616,-0.1403941197023784,0.35413653973442716,0.380950387349953,0.38444064326590105,0.5573614509898032,10.637635816904973,14.193353096240719,2.846986014107714,0.3273976209843308,0.5623915679504808,0.380950387349953,True,False,True,True,True,True,True,True,True,True,False
