group,run,update,episode_rows,collision_role_episodes,ordinary_role_episodes,base_collision_source_episodes,boundary_collision_source_episodes,unknown_collision_source_episodes,base_source_realized_collision_rate,boundary_source_realized_collision_rate,ordinary_role_realized_collision_rate
G3,ppo_privilege_gru_0721_clip020,15,143,78,65,78,0,0,0.34615384615384615,,0.03076923076923077
G3,ppo_privilege_gru_0721_clip020,16,152,87,65,87,0,0,0.5057471264367817,,0.07692307692307693
G3,ppo_privilege_gru_0721_clip020,17,139,75,64,75,0,0,0.37333333333333335,,0.0
G3,ppo_privilege_gru_0721_clip020,18,143,78,65,78,0,0,0.32051282051282054,,0.046153846153846156
G3,ppo_privilege_gru_0721_clip020,19,143,77,66,77,0,0,0.38961038961038963,,0.06060606060606061
G3,ppo_privilege_gru_0721_clip020,20,143,77,66,77,0,0,0.33766233766233766,,0.045454545454545456
G4,ppo_privilege_gru_0722_lr1_tkloff,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
G4,ppo_privilege_gru_0722_lr1_tkloff,2,151,87,64,87,0,0,0.5402298850574713,,0.03125
G4,ppo_privilege_gru_0722_lr1_tkloff,3,156,90,66,90,0,0,0.5444444444444444,,0.06060606060606061
G4,ppo_privilege_gru_0722_lr1_tkloff,4,155,91,64,91,0,0,0.6373626373626373,,0.046875
G4,ppo_privilege_gru_0722_lr1_tkloff,5,158,94,64,94,0,0,0.6170212765957447,,0.015625
G4,ppo_privilege_gru_0722_lr1_tkloff,6,159,94,65,94,0,0,0.5638297872340425,,0.03076923076923077
G4,ppo_privilege_gru_0722_lr1_tkloff,7,146,81,65,81,0,0,0.43209876543209874,,0.046153846153846156
G4,ppo_privilege_gru_0722_lr1_tkloff,8,154,90,64,90,0,0,0.5666666666666667,,0.03125
G4,ppo_privilege_gru_0722_lr1_tkloff,9,145,81,64,81,0,0,0.49382716049382713,,0.0
G4,ppo_privilege_gru_0722_lr1_tkloff,10,147,83,64,83,0,0,0.4939759036144578,,0.03125
G4,ppo_privilege_gru_0722_lr1_tkloff,11,153,87,66,87,0,0,0.5172413793103449,,0.045454545454545456
G4,ppo_privilege_gru_0722_lr1_tkloff,12,143,79,64,79,0,0,0.43037974683544306,,0.0
G4,ppo_privilege_gru_0722_lr1_tkloff,13,151,86,65,86,0,0,0.5,,0.03076923076923077
G4,ppo_privilege_gru_0722_lr1_tkloff,14,146,81,65,81,0,0,0.4567901234567901,,0.046153846153846156
G4,ppo_privilege_gru_0722_lr1_tkloff,15,149,85,64,85,0,0,0.5058823529411764,,0.03125
G4,ppo_privilege_gru_0722_lr1_tkloff,16,156,91,65,91,0,0,0.4835164835164835,,0.046153846153846156
G4,ppo_privilege_gru_0722_lr1_tkloff,17,147,83,64,83,0,0,0.5060240963855421,,0.046875
G4,ppo_privilege_gru_0722_lr1_tkloff,18,148,84,64,84,0,0,0.5357142857142857,,0.03125
G4,ppo_privilege_gru_0722_lr1_tkloff,19,150,84,66,84,0,0,0.4880952380952381,,0.030303030303030304
G4,ppo_privilege_gru_0722_lr1_tkloff,20,144,80,64,80,0,0,0.375,,0.015625
G4,ppo_privilege_gru_0722_lr5_tkloff,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
G4,ppo_privilege_gru_0722_lr5_tkloff,2,152,88,64,88,0,0,0.5454545454545454,,0.03125
G4,ppo_privilege_gru_0722_lr5_tkloff,3,160,96,64,96,0,0,0.625,,0.046875
G4,ppo_privilege_gru_0722_lr5_tkloff,4,154,88,66,88,0,0,0.6136363636363636,,0.045454545454545456
G4,ppo_privilege_gru_0722_lr5_tkloff,5,154,90,64,90,0,0,0.5888888888888889,,0.0
G4,ppo_privilege_gru_0722_lr5_tkloff,6,159,94,65,94,0,0,0.5106382978723404,,0.03076923076923077
G4,ppo_privilege_gru_0722_lr5_tkloff,7,153,89,64,89,0,0,0.5393258426966292,,0.046875
G4,ppo_privilege_gru_0722_lr5_tkloff,8,145,81,64,81,0,0,0.5555555555555556,,0.015625
G4,ppo_privilege_gru_0722_lr5_tkloff,9,156,92,64,92,0,0,0.5978260869565217,,0.0
G4,ppo_privilege_gru_0722_lr5_tkloff,10,156,91,65,91,0,0,0.5934065934065934,,0.06153846153846154
G4,ppo_privilege_gru_0722_lr5_tkloff,11,155,89,66,89,0,0,0.5617977528089888,,0.06060606060606061
G4,ppo_privilege_gru_0722_lr5_tkloff,12,161,96,65,96,0,0,0.59375,,0.03076923076923077
G4,ppo_privilege_gru_0722_lr5_tkloff,13,146,81,65,81,0,0,0.3950617283950617,,0.07692307692307693
G4,ppo_privilege_gru_0722_lr5_tkloff,14,144,80,64,80,0,0,0.35,,0.03125
G4,ppo_privilege_gru_0722_lr5_tkloff,15,145,79,66,79,0,0,0.43037974683544306,,0.045454545454545456
G4,ppo_privilege_gru_0722_lr5_tkloff,16,149,85,64,85,0,0,0.35294117647058826,,0.015625
G4,ppo_privilege_gru_0722_lr5_tkloff,17,151,85,66,85,0,0,0.4117647058823529,,0.07575757575757576
G4,ppo_privilege_gru_0722_lr5_tkloff,18,152,86,66,86,0,0,0.4418604651162791,,0.045454545454545456
G4,ppo_privilege_gru_0722_lr5_tkloff,19,151,84,67,84,0,0,0.38095238095238093,,0.05970149253731343
G4,ppo_privilege_gru_0722_lr5_tkloff,20,139,75,64,75,0,0,0.28,,0.015625
G5,ppo_privilege_gru_0722_long_clip015,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
G5,ppo_privilege_gru_0722_long_clip015,2,148,84,64,84,0,0,0.4642857142857143,,0.03125
G5,ppo_privilege_gru_0722_long_clip015,3,159,92,67,92,0,0,0.6195652173913043,,0.08955223880597014
G5,ppo_privilege_gru_0722_long_clip015,4,160,95,65,95,0,0,0.6842105263157895,,0.046153846153846156
G5,ppo_privilege_gru_0722_long_clip015,5,156,92,64,92,0,0,0.5543478260869565,,0.015625
G5,ppo_privilege_gru_0722_long_clip015,6,153,89,64,89,0,0,0.5056179775280899,,0.03125
G5,ppo_privilege_gru_0722_long_clip015,7,141,77,64,77,0,0,0.4025974025974026,,0.046875
G5,ppo_privilege_gru_0722_long_clip015,8,150,86,64,86,0,0,0.47674418604651164,,0.015625
G5,ppo_privilege_gru_0722_long_clip015,9,141,77,64,77,0,0,0.37662337662337664,,0.0
G5,ppo_privilege_gru_0722_long_clip015,10,148,83,65,83,0,0,0.42168674698795183,,0.03076923076923077
G5,ppo_privilege_gru_0722_long_clip015,11,147,82,65,82,0,0,0.4268292682926829,,0.046153846153846156
G5,ppo_privilege_gru_0722_long_clip015,12,153,88,65,88,0,0,0.4772727272727273,,0.015384615384615385
G5,ppo_privilege_gru_0722_long_clip015,13,151,84,67,84,0,0,0.5595238095238095,,0.07462686567164178
G5,ppo_privilege_gru_0722_long_clip015,14,145,80,65,80,0,0,0.375,,0.03076923076923077
G5,ppo_privilege_gru_0722_long_clip015,15,151,85,66,85,0,0,0.5058823529411764,,0.045454545454545456
G5,ppo_privilege_gru_0722_long_clip015,16,151,86,65,86,0,0,0.45348837209302323,,0.046153846153846156
G5,ppo_privilege_gru_0722_long_clip015,17,138,73,65,73,0,0,0.3561643835616438,,0.015384615384615385
G5,ppo_privilege_gru_0722_long_clip015,18,148,84,64,84,0,0,0.39285714285714285,,0.03125
G5,ppo_privilege_gru_0722_long_clip015,19,148,82,66,82,0,0,0.5,,0.07575757575757576
G5,ppo_privilege_gru_0722_long_clip015,20,143,78,65,78,0,0,0.4230769230769231,,0.03076923076923077
G5,ppo_privilege_gru_0722_long_clip015,21,146,81,65,81,0,0,0.4567901234567901,,0.03076923076923077
G5,ppo_privilege_gru_0722_long_clip015,22,154,88,66,88,0,0,0.4772727272727273,,0.045454545454545456
G5,ppo_privilege_gru_0722_long_clip015,23,144,80,64,80,0,0,0.425,,0.015625
G5,ppo_privilege_gru_0722_long_clip015,24,157,91,66,91,0,0,0.5054945054945055,,0.045454545454545456
G5,ppo_privilege_gru_0722_long_clip015,25,149,84,65,84,0,0,0.47619047619047616,,0.015384615384615385
G5,ppo_privilege_gru_0722_long_clip015,26,143,78,65,78,0,0,0.3333333333333333,,0.03076923076923077
G5,ppo_privilege_gru_0722_long_clip015,27,147,83,64,83,0,0,0.46987951807228917,,0.078125
G5,ppo_privilege_gru_0722_long_clip015,28,157,93,64,93,0,0,0.4946236559139785,,0.0
G5,ppo_privilege_gru_0722_long_clip015,29,140,74,66,74,0,0,0.2972972972972973,,0.030303030303030304
G5,ppo_privilege_gru_0722_long_clip015,30,142,78,64,78,0,0,0.4358974358974359,,0.015625
G5,ppo_privilege_gru_0722_long_clip020,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
G5,ppo_privilege_gru_0722_long_clip020,2,151,87,64,87,0,0,0.5517241379310345,,0.03125
G5,ppo_privilege_gru_0722_long_clip020,3,150,85,65,85,0,0,0.5176470588235295,,0.06153846153846154
G5,ppo_privilege_gru_0722_long_clip020,4,161,96,65,96,0,0,0.6666666666666666,,0.07692307692307693
G5,ppo_privilege_gru_0722_long_clip020,5,149,85,64,85,0,0,0.5294117647058824,,0.03125
G5,ppo_privilege_gru_0722_long_clip020,6,162,96,66,96,0,0,0.5416666666666666,,0.030303030303030304
G5,ppo_privilege_gru_0722_long_clip020,7,156,91,65,91,0,0,0.5164835164835165,,0.046153846153846156
G5,ppo_privilege_gru_0722_long_clip020,8,154,90,64,90,0,0,0.6111111111111112,,0.046875
G5,ppo_privilege_gru_0722_long_clip020,9,154,90,64,90,0,0,0.5777777777777777,,0.0
G5,ppo_privilege_gru_0722_long_clip020,10,153,88,65,88,0,0,0.5454545454545454,,0.06153846153846154
G5,ppo_privilege_gru_0722_long_clip020,11,152,87,65,87,0,0,0.5172413793103449,,0.015384615384615385
G5,ppo_privilege_gru_0722_long_clip020,12,145,81,64,81,0,0,0.3950617283950617,,0.015625
G5,ppo_privilege_gru_0722_long_clip020,13,145,80,65,80,0,0,0.45,,0.06153846153846154
G5,ppo_privilege_gru_0722_long_clip020,14,150,86,64,86,0,0,0.47674418604651164,,0.046875
G5,ppo_privilege_gru_0722_long_clip020,15,146,81,65,81,0,0,0.4074074074074074,,0.015384615384615385
G5,ppo_privilege_gru_0722_long_clip020,16,161,95,66,95,0,0,0.5684210526315789,,0.030303030303030304
G5,ppo_privilege_gru_0722_long_clip020,17,151,87,64,87,0,0,0.4482758620689655,,0.015625
G5,ppo_privilege_gru_0722_long_clip020,18,147,82,65,82,0,0,0.4024390243902439,,0.046153846153846156
G5,ppo_privilege_gru_0722_long_clip020,19,149,83,66,83,0,0,0.46987951807228917,,0.030303030303030304
G5,ppo_privilege_gru_0722_long_clip020,20,152,86,66,86,0,0,0.46511627906976744,,0.030303030303030304
G5,ppo_privilege_gru_0722_long_clip020,21,152,87,65,87,0,0,0.5172413793103449,,0.015384615384615385
G5,ppo_privilege_gru_0722_long_clip020,22,154,89,65,89,0,0,0.4157303370786517,,0.03076923076923077
G5,ppo_privilege_gru_0722_long_clip020,23,151,86,65,86,0,0,0.46511627906976744,,0.03076923076923077
G5,ppo_privilege_gru_0722_long_clip020,24,147,82,65,82,0,0,0.43902439024390244,,0.03076923076923077
G5,ppo_privilege_gru_0722_long_clip020,25,151,87,64,87,0,0,0.42528735632183906,,0.015625
G5,ppo_privilege_gru_0722_long_clip020,26,146,82,64,82,0,0,0.4634146341463415,,0.015625
G5,ppo_privilege_gru_0722_long_clip020,27,153,89,64,89,0,0,0.4606741573033708,,0.03125
G5,ppo_privilege_gru_0722_long_clip020,28,141,77,64,77,0,0,0.37662337662337664,,0.015625
G5,ppo_privilege_gru_0722_long_clip020,29,146,82,64,82,0,0,0.43902439024390244,,0.015625
G5,ppo_privilege_gru_0722_long_clip020,30,143,78,65,78,0,0,0.3333333333333333,,0.046153846153846156
G6,ppo_privilege_gru_0722_clip015_tkl002,1,152,87,65,87,0,0,0.5287356321839081,,0.015384615384615385
G6,ppo_privilege_gru_0722_clip015_tkl002,2,152,88,64,88,0,0,0.5,,0.03125
G6,ppo_privilege_gru_0722_clip015_tkl002,3,148,83,65,83,0,0,0.46987951807228917,,0.046153846153846156
G6,ppo_privilege_gru_0722_clip015_tkl002,4,158,92,66,92,0,0,0.6195652173913043,,0.07575757575757576
G6,ppo_privilege_gru_0722_clip015_tkl002,5,148,84,64,84,0,0,0.4523809523809524,,0.0
G6,ppo_privilege_gru_0722_clip015_tkl002,6,154,89,65,89,0,0,0.5280898876404494,,0.07692307692307693
G6,ppo_privilege_gru_0722_clip015_tkl002,7,148,83,65,83,0,0,0.4457831325301205,,0.015384615384615385
G6,ppo_privilege_gru_0722_clip015_tkl002,8,153,87,66,87,0,0,0.5172413793103449,,0.030303030303030304
G6,ppo_privilege_gru_0722_clip015_tkl002,9,146,82,64,82,0,0,0.524390243902439,,0.0
G6,ppo_privilege_gru_0722_clip015_tkl002,10,149,84,65,84,0,0,0.5238095238095238,,0.03076923076923077
G6,ppo_privilege_gru_0722_clip015_tkl002,11,150,85,65,85,0,0,0.5647058823529412,,0.046153846153846156
G6,ppo_privilege_gru_0722_clip015_tkl002,12,160,95,65,95,0,0,0.5684210526315789,,0.06153846153846154
G6,ppo_privilege_gru_0722_clip015_tkl002,13,155,89,66,89,0,0,0.5617977528089888,,0.07575757575757576
G6,ppo_privilege_gru_0722_clip015_tkl002,14,150,85,65,85,0,0,0.5176470588235295,,0.015384615384615385
G6,ppo_privilege_gru_0722_clip015_tkl002,15,152,87,65,87,0,0,0.5057471264367817,,0.03076923076923077
G6,ppo_privilege_gru_0722_clip015_tkl002,16,155,90,65,90,0,0,0.5222222222222223,,0.03076923076923077
