group,arm,run,update,collision_trace_rows,missing_collision_traces,post_overtake_rear_contact_count,post_overtake_rear_merge_contact_count,high_sideslip_tail_3deg_count,high_sideslip_tail_5deg_count,high_sideslip_tail_8deg_count,bc_structural_tail_scenarios_total,bc_structural_tail_scenarios_still_collision,bc_structural_tail_scenarios_resolved,bc_strict_5deg_tail_scenarios_total,bc_strict_5deg_tail_scenarios_still_collision,bc_strict_5deg_tail_scenarios_resolved,new_structural_tail_scenarios_vs_bc,new_strict_5deg_tail_scenarios_vs_bc
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,15,15,0,7,7,6,6,3,12,7,5,8,5,3,2,2
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,20,21,0,11,10,9,8,5,12,8,4,8,6,2,4,2
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,25,14,0,5,4,3,3,1,12,4,8,8,2,6,2,1
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,30,18,0,7,6,4,4,3,12,3,9,8,2,6,5,2
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,35,18,0,6,6,4,4,0,12,4,8,8,3,5,4,2
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,40,18,0,9,9,7,7,4,12,5,7,8,4,4,5,3
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,45,16,0,8,7,7,5,3,12,5,7,8,4,4,4,1
G5,clip 0.15 x 30U,ppo_privilege_gru_0722_long_clip015,1,16,0,8,8,5,5,4,12,6,6,8,4,4,3,1
G5,clip 0.15 x 30U,ppo_privilege_gru_0722_long_clip015,5,18,0,11,10,7,6,2,12,8,4,8,5,3,5,3
G5,clip 0.15 x 30U,ppo_privilege_gru_0722_long_clip015,10,18,0,11,11,9,8,5,12,4,8,8,3,5,7,5
G5,clip 0.15 x 30U,ppo_privilege_gru_0722_long_clip015,15,14,0,8,7,6,5,3,12,5,7,8,3,5,3,2
G5,clip 0.15 x 30U,ppo_privilege_gru_0722_long_clip015,20,14,0,8,7,7,7,5,12,8,4,8,6,2,2,2
G5,clip 0.15 x 30U,ppo_privilege_gru_0722_long_clip015,25,17,0,11,10,10,9,5,12,6,6,8,6,2,5,3
G5,clip 0.15 x 30U,ppo_privilege_gru_0722_long_clip015,30,20,0,15,15,14,13,6,12,5,7,8,4,4,10,9
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,1,21,0,13,11,9,9,4,12,7,5,8,6,2,7,4
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,5,18,0,7,7,6,5,2,12,8,4,8,5,3,1,1
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,10,16,0,9,6,5,5,4,12,7,5,8,5,3,2,0
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,15,13,0,6,6,6,4,3,12,5,7,8,3,5,2,1
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,20,13,0,7,6,5,5,3,12,4,8,8,2,6,3,3
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,25,17,0,8,7,7,6,3,12,4,8,8,2,6,4,4
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,30,11,0,5,4,3,3,2,12,2,10,8,1,7,4,2
G4,actor LR low,ppo_privilege_gru_0722_lr1_tkloff,1,18,0,10,9,8,7,5,12,7,5,8,6,2,3,1
G4,actor LR low,ppo_privilege_gru_0722_lr1_tkloff,5,15,0,6,5,4,4,3,12,5,7,8,4,4,2,0
G4,actor LR low,ppo_privilege_gru_0722_lr1_tkloff,10,15,0,7,5,4,3,2,12,6,6,8,3,5,2,0
G4,actor LR low,ppo_privilege_gru_0722_lr1_tkloff,15,19,0,7,6,4,3,2,12,4,8,8,2,6,4,1
G4,actor LR low,ppo_privilege_gru_0722_lr1_tkloff,20,21,0,9,5,4,3,3,12,3,9,8,1,7,6,2
G4,actor LR high,ppo_privilege_gru_0722_lr5_tkloff,1,19,0,10,10,10,10,6,12,6,6,8,5,3,4,5
G4,actor LR high,ppo_privilege_gru_0722_lr5_tkloff,5,21,0,13,11,10,8,4,12,8,4,8,5,3,6,4
G4,actor LR high,ppo_privilege_gru_0722_lr5_tkloff,10,21,0,12,12,11,10,7,12,6,6,8,4,4,7,6
G4,actor LR high,ppo_privilege_gru_0722_lr5_tkloff,15,26,0,18,18,16,14,8,12,3,9,8,3,5,15,11
G4,actor LR high,ppo_privilege_gru_0722_lr5_tkloff,20,26,0,14,13,12,10,5,12,3,9,8,3,5,11,8
G1,privilege_mlp,ppo_privilege_mlp_0721_base,1,24,0,11,8,8,8,5,12,6,6,8,5,3,6,4
G1,privilege_mlp,ppo_privilege_mlp_0721_base,5,25,0,14,13,11,10,7,12,5,7,8,4,4,11,7
G1,privilege_mlp,ppo_privilege_mlp_0721_base,10,25,0,10,10,10,8,5,12,4,8,8,3,5,8,6
G1,privilege_mlp,ppo_privilege_mlp_0721_base,15,21,0,10,6,6,6,3,12,7,5,8,4,4,5,3
G1,privilege_mlp,ppo_privilege_mlp_0721_base,20,25,0,11,10,8,8,4,12,4,8,8,2,6,7,6
