run,update,panel,episode_rows,unique_scenarios,trace_files,collision_count,collision_rate,overtake_count,follow_count,success_count,success_rate,error_count,avg_speed_mean,speed_variance_mean,total_distance_mean,median_collision_time_s,mean_collision_time_s,initial_ego_collision_count,collision_with_opponent_count,steering_anomaly_episode_count,near_proximity_episode_count,aggregate_consistent,all_action_observation_finite,trace_keys_match_episode_keys,matches_bc_scenario_set,valid
ppo_privilege_gru_0722_clip015_tkl002,1,ppo_privilege_gru_0722_clip015_tkl002_u0001,600,600,600,20,0.03333333333333333,344,236,580,0.9666666666666667,0,5.279551406178104,1.6032486234707262,41.77226825290411,4.5449999999999475,4.612499999999945,0,18,0,72,True,True,True,True,True
ppo_privilege_gru_0722_clip015_tkl002,5,ppo_privilege_gru_0722_clip015_tkl002_u0005,600,600,600,17,0.028333333333333332,344,239,583,0.9716666666666667,0,5.289777107587531,1.6244700410500408,41.94195790297654,4.559999999999947,4.618823529411709,0,16,0,74,True,True,True,True,True
ppo_privilege_gru_0722_clip015_tkl002,10,ppo_privilege_gru_0722_clip015_tkl002_u0010,600,600,600,19,0.03166666666666667,350,231,581,0.9683333333333334,0,5.333810747064048,1.6549858845995082,42.23367217425926,4.769999999999943,4.693684210526259,0,17,0,63,True,True,True,True,True
ppo_privilege_gru_0722_clip015_tkl002,15,ppo_privilege_gru_0722_clip015_tkl002_u0015,600,600,600,18,0.03,352,230,582,0.97,0,5.339274763921541,1.6596211449677358,42.26443364066231,4.399999999999951,4.364444444444395,0,16,0,62,True,True,True,True,True
ppo_privilege_gru_0722_clip015_tkl002,20,ppo_privilege_gru_0722_clip015_tkl002_u0020,600,600,600,20,0.03333333333333333,344,236,580,0.9666666666666667,0,5.338339853884207,1.6542362145999336,42.345557010912735,5.709999999999923,5.31999999999993,0,20,0,61,True,True,True,True,True
ppo_privilege_gru_0722_clip015_tkl004,1,ppo_privilege_gru_0722_clip015_tkl004_u0001,600,600,600,23,0.03833333333333333,343,234,577,0.9616666666666667,0,5.3225490002573785,1.618120671244277,42.06831448748806,5.129999999999935,4.941304347826025,0,17,0,74,True,True,True,True,True
ppo_privilege_gru_0722_clip015_tkl004,5,ppo_privilege_gru_0722_clip015_tkl004_u0005,600,600,600,45,0.075,335,220,555,0.925,0,5.338867680951037,1.600370559703551,41.400727825204264,3.519999999999969,4.29977777777773,0,38,0,142,True,True,True,True,True
ppo_privilege_gru_0722_clip015_tkl004,10,ppo_privilege_gru_0722_clip015_tkl004_u0010,600,600,600,70,0.11666666666666667,329,201,530,0.8833333333333333,0,5.355254912579634,1.6156676923410598,40.83135895869264,4.204999999999955,4.339428571428523,0,53,0,189,True,True,True,True,True
ppo_privilege_gru_0722_clip015_tkl004,15,ppo_privilege_gru_0722_clip015_tkl004_u0015,600,600,600,58,0.09666666666666666,336,206,542,0.9033333333333333,0,5.376131564608682,1.625819975914665,41.27245255224635,3.5849999999999675,4.145862068965473,0,43,0,172,True,True,True,True,True
ppo_privilege_gru_0722_clip015_tkl004,20,ppo_privilege_gru_0722_clip015_tkl004_u0020,600,600,600,33,0.055,350,217,567,0.945,0,5.36933312406945,1.6166608727536318,42.07516918669318,3.9199999999999604,4.446060606060555,0,23,0,103,True,True,True,True,True
