scenario_id,collision_panels,valid_ppo_panels,rate
evaluation-sp36-ego1539-raceline0-v0.8,1,68,0.014705882352941176
evaluation-sp21-ego898-raceline0-v0.8,1,68,0.014705882352941176
evaluation-sp7-ego299-raceline0-v0.7,1,68,0.014705882352941176
evaluation-sp10-ego427-raceline2-v0.5,1,68,0.014705882352941176
evaluation-sp17-ego727-raceline1-v0.7,1,68,0.014705882352941176
evaluation-sp19-ego812-raceline1-v0.8,1,68,0.014705882352941176
evaluation-sp17-ego727-raceline1-v0.6,1,68,0.014705882352941176
evaluation-sp42-ego1796-raceline2-v0.5,1,68,0.014705882352941176
evaluation-sp33-ego1411-raceline0-v0.8,1,68,0.014705882352941176
evaluation-sp2-ego85-raceline0-v0.8,1,68,0.014705882352941176
evaluation-sp25-ego1069-raceline1-v0.5,1,68,0.014705882352941176
evaluation-sp30-ego1283-raceline1-v0.7,1,68,0.014705882352941176
evaluation-sp9-ego384-raceline1-v0.5,1,68,0.014705882352941176
evaluation-sp2-ego85-raceline2-v0.5,1,68,0.014705882352941176
evaluation-sp10-ego427-raceline1-v0.6,1,68,0.014705882352941176
evaluation-sp41-ego1753-raceline2-v0.8,1,68,0.014705882352941176
evaluation-sp40-ego1711-raceline2-v0.7,1,68,0.014705882352941176
evaluation-sp15-ego641-raceline1-v0.7,1,68,0.014705882352941176
evaluation-sp23-ego983-raceline0-v0.8,1,68,0.014705882352941176
evaluation-sp46-ego1967-raceline1-v0.8,1,68,0.014705882352941176
evaluation-sp17-ego727-raceline0-v0.8,1,68,0.014705882352941176
evaluation-sp47-ego2010-raceline2-v0.8,1,68,0.014705882352941176
evaluation-sp20-ego855-raceline2-v0.8,1,68,0.014705882352941176
evaluation-sp37-ego1582-raceline0-v0.8,1,68,0.014705882352941176
evaluation-sp47-ego2010-raceline1-v0.8,1,68,0.014705882352941176
evaluation-sp22-ego941-raceline0-v0.6,1,68,0.014705882352941176
evaluation-sp10-ego427-raceline1-v0.5,1,68,0.014705882352941176
evaluation-sp6-ego256-raceline0-v0.6,1,68,0.014705882352941176
evaluation-sp11-ego470-raceline2-v0.7,1,68,0.014705882352941176
